Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,29326.783356741398,25233.351980733132,33741.76899747479
2025-12-31,28543.527101357315,24429.501030434003,33187.48865126739
2026-12-31,27684.55954760081,23307.917583847182,32394.8701914224
2027-12-31,26750.159200759397,22539.2536655722,30971.427891157124
2028-12-31,26429.075334477806,22087.438572623378,30961.40536711679
2029-12-31,25645.819079092867,20744.568227384912,29801.213463641052
2030-12-31,24786.851525336366,20120.20180446755,29617.860868954995
2031-12-31,23852.45117849106,18842.842854060396,29356.34537856736
2032-12-31,23531.367312213646,18230.28563298208,28647.795899637196
2033-12-31,22748.111056830407,17124.250106283656,28460.936775494913
2034-12-31,21889.14350307088,17064.0,27864.27436714009
