Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,349.6178215314475,315.9140583430292,385.0292068664392
2025-12-31,363.69561005700234,329.5207158200589,398.3462116696021
2026-12-31,377.77781113078737,341.80045778480445,410.9312581763354
2027-12-31,391.8630188680187,358.82780194176854,427.30679237824086
2028-12-31,401.39787909128677,365.2345115764502,431.90409075217855
2029-12-31,415.47566761685124,380.6343771950359,449.4737515600178
2030-12-31,429.55786869062337,393.284420919746,466.3501597245972
2031-12-31,443.64307642787224,408.9157081093879,481.56860275905734
2032-12-31,453.1779366511372,418.44977979372936,488.60010140275256
2033-12-31,467.2557251766815,433.27333743305024,504.0818881421143
2034-12-31,481.33792625048295,443.6597634253807,516.6584726958885
