Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,45336537632.92816,44404548130.037094,46256737346.18244
2025-12-31,46323855662.13525,45257715802.04107,47250101492.814606
2026-12-31,46942550551.82871,45915991139.19359,48047047346.28874
2027-12-31,47194901440.63871,45964310784.45079,48327036309.237526
2028-12-31,53366678418.24988,51926682248.657745,54765351305.218895
2029-12-31,54353996447.44659,52714285959.49882,55921567168.94749
2030-12-31,54972691337.14783,53081782551.57965,56758724592.7312
2031-12-31,55225042225.92739,52989491637.854675,57383728963.41323
2032-12-31,61396819203.561485,58673574371.15679,63915586304.656334
2033-12-31,62384137232.77937,59390046780.69517,65197462903.15424
2034-12-31,63002832122.44763,59523538113.2528,66344615666.60728
