Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,2542.1125348354153,2501.0856312900996,2587.5457937617493
2025-12-31,2602.9088431087807,2556.9955185523127,2649.934476868257
2026-12-31,2650.46185215677,2595.723290270308,2702.083540336941
2027-12-31,2684.854030189512,2621.222337581204,2750.5434558849556
2028-12-31,2930.6728390874987,2852.8206255438276,3003.350982509629
2029-12-31,2991.469147360501,2893.5219544772704,3086.8239378698436
2030-12-31,3039.0221564087533,2925.9252216982068,3155.8251984690405
2031-12-31,3073.41433444041,2935.5492016309486,3210.2968418125697
2032-12-31,3319.233143339224,3152.567427790836,3473.3130380145913
2033-12-31,3380.0294516129898,3185.568885793166,3567.2199396637684
2034-12-31,3427.582460660071,3208.910346011996,3644.0487769321808
