Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,367.2062346569151,361.58137565195517,373.4756511986049
2025-12-31,377.96919786533186,371.9914448014749,383.77132814171136
2026-12-31,388.16909253641916,382.40881537862924,394.3564109456676
2027-12-31,397.8092969057004,392.0326766340658,403.76571872486994
2028-12-31,417.18033365857923,411.1654841979231,423.50485368966514
2029-12-31,427.94329686697904,420.96398946955054,434.6523552244038
2030-12-31,438.14319153808356,431.1840185500004,445.51225664373834
2031-12-31,447.7833959073172,440.36317739925767,455.5742899730626
2032-12-31,467.154432660227,458.678090995365,476.09812315726447
2033-12-31,477.9173958686605,468.9325978992882,487.4469408683814
2034-12-31,488.11729053970765,478.01087305425966,498.6054980071116
