Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,1241.473945697724,1175.4027049492674,1307.0754488201187
2025-12-31,1281.3681285232917,1219.370172590133,1343.8000832121568
2026-12-31,1321.5453448264336,1258.9695919141893,1385.7715938734448
2027-12-31,1362.0011867970406,1297.554976093674,1417.2348964077607
2028-12-31,1389.0483972064224,1325.1321935386654,1454.0870726751568
2029-12-31,1428.9425800320168,1364.941119376701,1492.2306813376035
2030-12-31,1469.1197963351262,1405.2888450556404,1534.5239625756917
2031-12-31,1509.5756383057903,1442.7817479946002,1573.933034263934
2032-12-31,1536.6228487151504,1474.9207630302124,1601.9509466496004
2033-12-31,1576.5170315406892,1514.6947723511232,1640.5221490015192
2034-12-31,1616.6942478438823,1555.0426676991426,1678.1431111473732
