Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,1410776210832.793,1324221286186.9062,1507606983960.4153
2025-12-31,1437032751718.2493,1349062231537.274,1532001836643.9512
2026-12-31,1454380818300.6533,1359396748297.0159,1555402072590.3218
2027-12-31,1462878976320.6323,1361783282099.7205,1551003877749.9148
2028-12-31,1611000809027.504,1519899910401.966,1707904203906.4214
2029-12-31,1637257349912.7236,1545208451376.6616,1732423538854.8616
2030-12-31,1654605416495.2598,1562795005537.0784,1743205264204.969
2031-12-31,1663103574514.5203,1564372558328.4482,1752155419808.2898
2032-12-31,1811225407221.9585,1720273799625.7637,1903945065263.4216
2033-12-31,1837481948107.721,1746352375585.3982,1929121062345.3027
2034-12-31,1854830014689.5063,1764759801312.1418,1954096804567.6787
