Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,4909.78049815219,4595.312889781931,5243.961302240242
2025-12-31,5046.0724358486605,4718.9303312629845,5351.3787627527745
2026-12-31,5176.18230279146,4854.121384217455,5496.445575331854
2027-12-31,5300.144980252143,4981.293966013745,5603.926248793777
2028-12-31,5502.966844534908,5191.529250135544,5808.390437597011
2029-12-31,5639.258782231253,5322.084739861075,5935.951219164494
2030-12-31,5769.368649174096,5426.775270722793,6082.325215305046
2031-12-31,5893.33132663435,5579.146995507557,6223.722832065666
2032-12-31,6096.153190917493,5779.395056101805,6398.368387884023
2033-12-31,6232.445128614133,5891.483893884364,6556.323021619172
2034-12-31,6362.554995556573,6047.523073937814,6688.082827731239
