Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,22494610741.998047,20308213575.233673,24943013855.312515
2025-12-31,24009217606.68667,21631532959.78919,26347232767.80073
2026-12-31,25705425573.24861,23355221507.459145,27821060359.999332
2027-12-31,27581869387.761417,25316146820.289703,29949020866.46596
2028-12-31,26052966623.415882,23779749059.21946,28424491887.26218
2029-12-31,27567573488.110546,25210272409.58928,29975364358.30924
2030-12-31,29263781454.66813,27054889762.07937,31590270708.37792
2031-12-31,31140225269.197784,28712863826.13093,33392063384.994
2032-12-31,29611322504.840347,27323693088.36438,31963011638.60499
2033-12-31,31125929369.52146,28537738886.576122,33404534493.857677
2034-12-31,32822137336.097977,30570088998.4876,35108027826.65128
