Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,2964.3293940057006,2695.565373377647,3265.024588706258
2025-12-31,3137.511786703645,2868.035154621201,3398.540270103022
2026-12-31,3330.5089523545903,3028.791544526345,3613.954192797546
2027-12-31,3543.1874832972962,3256.310990308547,3816.612303896432
2028-12-31,3431.359358250887,3143.8323913897625,3714.6144751759475
2029-12-31,3604.5417509493927,3323.266050393075,3900.838714049145
2030-12-31,3797.5389165999854,3489.1910018082376,4076.492909871148
2031-12-31,4010.2174475443508,3745.948619551314,4302.538337945303
2032-12-31,3898.389322496678,3606.896594066146,4194.171699519188
2033-12-31,4071.5717151939257,3794.975868440665,4353.6671347923475
2034-12-31,4264.568880846283,3976.993962142091,4542.958537357686
