Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,194.67039137020214,192.03949656000117,197.30537483291218
2025-12-31,198.31890123629893,195.45786472834794,200.98549253523439
2026-12-31,201.749841674783,199.05107112965584,204.4876612763822
2027-12-31,204.9640648472451,202.34183448866344,207.68355332803125
2028-12-31,210.41558038245498,207.57927630657284,213.09011060341635
2029-12-31,214.06409024854838,211.08531877458256,216.91267095096222
2030-12-31,217.49503068703476,214.54747386290816,220.6211290392967
2031-12-31,220.70925385948425,217.63037225130068,223.8033866968218
2032-12-31,226.16076939470514,222.9278153484369,229.1946787574596
2033-12-31,229.80927926080506,226.470068939384,233.02947690187523
2034-12-31,233.240219699279,229.4672320360183,236.70528568648655
