Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,4758.583593616022,4533.720345288713,4976.457520353855
2025-12-31,4790.015459318732,4569.24013728541,5040.610797047029
2026-12-31,4821.58051199628,4582.485206669558,5040.676035065375
2027-12-31,4853.2892049890925,4621.062716453702,5074.974370038917
2028-12-31,4921.39942440318,4700.433775547806,5152.526633660933
2029-12-31,4952.831290105813,4714.665073723595,5186.735182200946
2030-12-31,4984.3963427834715,4748.364783799782,5213.69004441082
2031-12-31,5016.105035776149,4788.051251258719,5243.328806877291
2032-12-31,5084.215255190248,4851.8166387385345,5331.564843230342
2033-12-31,5115.647120893041,4877.52832118013,5376.787110988809
2034-12-31,5147.212173570462,4868.756619961843,5416.220093974598
