Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,3024.931393629372,2923.5826840363,3122.7399950879
2025-12-31,3044.188443539355,2936.1299200365293,3147.154417496949
2026-12-31,3064.279881541243,2970.975533198427,3166.0693346106555
2027-12-31,3085.2003149741663,2980.7686252091994,3187.67134470373
2028-12-31,3092.414086999892,2988.0371273541277,3199.466319944307
2029-12-31,3111.6711369099,3004.96968783191,3216.0918092507036
2030-12-31,3131.7625749117688,3023.691238855556,3241.5224616458663
2031-12-31,3152.6830083447617,3044.2293976924766,3260.7357026804634
2032-12-31,3159.8967803704377,3050.9069832317014,3267.126482958666
2033-12-31,3179.153830280393,3069.111910092925,3293.290470394483
2034-12-31,3199.2452682823396,3083.715601069213,3319.717947512027
