Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,414170102422.20764,388791468230.4818,438300099939.90076
2025-12-31,413634881437.3885,387357450439.2064,437670067664.38153
2026-12-31,409135319519.197,383822605278.1744,433319618149.9411
2027-12-31,400698726668.93933,375736698969.30774,426848174117.74365
2028-12-31,456313668545.8369,431242103184.031,482124787007.56683
2029-12-31,455778447560.9077,429365322613.8213,480959190730.78204
2030-12-31,451278885642.77625,426258965069.90875,475494932688.79175
2031-12-31,442842292792.1907,415986730806.92084,468890282600.563
2032-12-31,498457234669.3424,472941362871.8395,524299316672.9128
2033-12-31,497922013684.6712,470031658989.1089,526722080840.36523
2034-12-31,493422451766.19604,467570329338.7641,520569216422.7145
