Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,11399.812273011563,10747.978732689591,11953.394763088174
2025-12-31,11308.113423454313,10715.112389416296,11863.03865074592
2026-12-31,11123.673515959597,10553.809083831577,11693.496822031042
2027-12-31,10847.086449399263,10222.408906054472,11440.799802790192
2028-12-31,11961.549895044402,11382.73673042793,12578.999830605522
2029-12-31,11869.851045484822,11218.251620352416,12479.45501868204
2030-12-31,11685.411137991287,11014.181060815994,12353.346068077124
2031-12-31,11408.824071423714,10709.594332858755,12134.417018753511
2032-12-31,12523.287517074687,11780.794499880547,13227.391431826643
2033-12-31,12431.588667520502,11631.550775858579,13287.324476787078
2034-12-31,12247.148760019578,11408.78607575014,13101.850150938064
