Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,274.7393813069333,249.18097854764474,302.0738946768989
2025-12-31,284.5579787041348,257.02375797597807,312.7729731582332
2026-12-31,294.3559604671567,267.2370751595091,321.10073686237695
2027-12-31,304.1319564493183,277.4418237431414,332.4759615896025
2028-12-31,309.434444916845,282.90624404323256,337.549537153515
2029-12-31,319.2530423140559,291.6236211955516,344.7988207349854
2030-12-31,329.0510240770649,301.8179189780025,356.9971023958773
2031-12-31,338.8270200592433,311.20026645572733,365.078649298457
2032-12-31,344.129508526768,319.1771307266126,373.78618192981804
2033-12-31,353.9481059239587,326.1383492249969,382.63192542432574
2034-12-31,363.7460876869965,335.8468040310058,391.0582603462524
