Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,86587214082.80963,77361938694.31442,95768970634.19565
2025-12-31,91434981057.62708,81601715816.26459,101100346977.95049
2026-12-31,96681919253.3863,87105154690.05586,105234712433.99796
2027-12-31,102323473362.7181,93727222860.34749,112236627755.81464
2028-12-31,95420838206.95769,86784060254.3978,104755831188.7979
2029-12-31,100268605181.7989,91437837049.3491,109672283811.19766
2030-12-31,105515543377.53436,95787933515.693,114990566927.21635
2031-12-31,111157097486.92249,100949079819.49255,121417646526.9971
2032-12-31,104254462331.1328,94839838462.66751,114393423521.82884
2033-12-31,109102229305.9218,99732456542.11911,118340587052.1064
2034-12-31,114349167501.7311,104524769299.79556,123781122663.87564
