Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,1709.863020417162,1478.3235246789905,1939.8389650895149
2025-12-31,1788.2811012876205,1586.5980009699401,1993.119114549463
2026-12-31,1870.2349860344052,1641.7301818184985,2097.9312338179116
2027-12-31,1955.6941106803808,1730.7547063067734,2195.830935489531
2028-12-31,1961.571813235881,1737.1373422416675,2188.8715638608155
2029-12-31,2039.9898941064857,1799.873479682197,2261.494621202197
2030-12-31,2121.9437788531463,1900.720509805006,2344.2322993981907
2031-12-31,2207.4029034995015,1980.9712157665801,2425.6886554370694
2032-12-31,2213.2806060547623,1997.1944878660322,2443.0617512648737
2033-12-31,2291.698686925044,2069.960613522017,2522.42526310495
2034-12-31,2373.6525716721594,2168.5024266614055,2601.0812548036056
