Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,122.52747834961774,119.71051566934312,125.47301251195472
2025-12-31,126.41948010419327,123.3653848615101,129.416477262611
2026-12-31,130.28478279470113,127.14728902201145,133.02071387287523
2027-12-31,134.123227923602,131.47453082679485,137.1137838669152
2028-12-31,137.4173971072894,134.22352012704312,140.62691562115089
2029-12-31,141.3093988618662,137.94180266975314,144.22199333286707
2030-12-31,145.17470155237214,141.96783428037054,148.44811870834792
2031-12-31,149.01314668127463,145.90455672526804,152.376402883295
2032-12-31,152.3073158649628,148.57492706443315,155.93646499974636
2033-12-31,156.19931761953666,152.7489764746456,159.783083409702
2034-12-31,160.06462031004628,156.03938201185295,163.86205743772453
