Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,682.5573290079448,669.3621553530695,695.2744118084311
2025-12-31,683.8951416930618,671.4661215505527,696.66146219449
2026-12-31,685.0946862519813,671.8264612334802,698.4629742553258
2027-12-31,686.1559454887308,672.3223020106634,699.6809969856355
2028-12-31,687.1786731555708,672.4177719790805,701.3086650325454
2029-12-31,688.5164858406886,674.0535082778968,703.1932242615261
2030-12-31,689.7160303996069,674.1305785040154,706.3049386499947
2031-12-31,690.7772896363541,673.8273958943245,708.0374167272226
2032-12-31,691.8000173031992,671.765947898734,709.9620922419233
2033-12-31,693.1378299883139,672.0625074035374,713.6480846303035
2034-12-31,694.3373745472326,670.2944260450462,716.6373979350924
