Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,4417.315651062023,4195.888888766612,4666.93940377383
2025-12-31,4514.678507748299,4285.084688977972,4768.989993489961
2026-12-31,4598.364371544463,4363.099795560398,4861.565820473867
2027-12-31,4668.4636250964195,4435.1913938577,4905.32609142044
2028-12-31,4958.938364537415,4716.203278301972,5203.936538527649
2029-12-31,5056.301221223317,4799.045614217912,5317.876851133923
2030-12-31,5139.987085019717,4894.562032399248,5389.306352228507
2031-12-31,5210.086338570547,4965.253145003854,5482.749000817393
2032-12-31,5500.561078012406,5248.465124559909,5739.251101465001
2033-12-31,5597.923934699154,5347.888704278369,5839.97687122921
2034-12-31,5681.609798494356,5432.3737549245325,5933.502660749392
