Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,8980.817397193572,8804.04924125306,9159.044956112733
2025-12-31,8983.614601522393,8797.312593767692,9173.64013846481
2026-12-31,8973.435585801926,8780.6258566992,9164.146657512398
2027-12-31,8950.329493898504,8759.648699910002,9125.13169724303
2028-12-31,9060.074585034445,8863.591266008889,9251.248658020306
2029-12-31,9062.871789363064,8853.961101274104,9267.925633703499
2030-12-31,9052.692773642753,8845.555844880137,9265.59849085575
2031-12-31,9029.586681738576,8773.345920491329,9261.382069032492
2032-12-31,9139.331772875168,8857.888596770408,9394.179685103938
2033-12-31,9142.128977204156,8840.049168496042,9421.517039942832
2034-12-31,9131.949961483097,8784.12900404333,9445.85584493431
