Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,5313.784179550738,4639.889385393417,5968.205897909242
2025-12-31,5432.227603304809,4761.94884506774,6104.573071629447
2026-12-31,5548.654080968821,4850.941883719129,6183.7178680751185
2027-12-31,5662.905895437237,4980.433628080335,6335.741113225296
2028-12-31,5258.646546791148,4569.879175472427,5939.52450677551
2029-12-31,5377.089970546303,4630.352702995397,6058.3400791975955
2030-12-31,5493.516448208829,4837.855690026522,6182.470377280318
2031-12-31,5607.768262679185,4952.911116119197,6289.803587165036
2032-12-31,5203.508914032856,4547.559582348013,5911.514098277475
2033-12-31,5321.952337785686,4565.219777590954,5972.22257483003
2034-12-31,5438.378815451539,4711.22175752872,6127.563767610208
