Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,483201288329.3528,454224034495.9268,511610740087.068
2025-12-31,483496783456.052,452732588315.2592,513475875046.0969
2026-12-31,478598280989.15,449036960427.5659,507863723991.3266
2027-12-31,468544639432.6366,436436122652.894,499030799806.27765
2028-12-31,554082524281.032,524373569565.53723,585033848374.5186
2029-12-31,554378019407.5623,523250055284.4553,584700766118.521
2030-12-31,549479516940.7772,522675207785.156,581314651009.7799
2031-12-31,539425875383.7894,509687069983.5683,571337011422.343
2032-12-31,624963760232.5237,594402646047.3455,655974666581.2931
2033-12-31,625259255359.4376,594416293290.1129,653639534515.6943
2034-12-31,620360752892.1246,591869969020.3125,650870222571.2
