Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,69372.44158503281,65592.43554540336,72965.04604466214
2025-12-31,69586.88820925157,65805.34748634076,73318.23255846882
2026-12-31,69342.2475881651,65662.91815251418,72947.47341994892
2027-12-31,68641.9126775498,64910.441572327014,72104.82530349883
2028-12-31,76381.93976082906,72615.45682149145,79882.89144859291
2029-12-31,76596.38638503301,72701.7727382362,80204.23670148458
2030-12-31,76351.74576395718,72654.56411385788,80368.20394581147
2031-12-31,75651.41085329992,72084.65639050899,79442.81870202154
2032-12-31,83391.43793660899,79787.08487114811,87152.65339052935
2033-12-31,83605.88456084646,79925.263339038,87294.54929493931
2034-12-31,83361.2439397239,79210.34026989943,86995.968464159
