Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,228.72779755477168,224.5070640143784,233.01040384333916
2025-12-31,232.3440442964421,228.11666228395444,236.6953202553224
2026-12-31,235.7276822916231,231.151705727407,240.03852217028154
2027-12-31,238.8793598551664,234.64511687382733,243.22088662816168
2028-12-31,243.63545918176936,239.3109976214655,248.15904204882966
2029-12-31,247.25170592343778,242.82124662979834,251.77614054961555
2030-12-31,250.63534391861927,246.24547562293594,255.7251369312588
2031-12-31,253.78702148215206,248.83574758624525,258.67329301776437
2032-12-31,258.5431208087663,253.66849047449875,264.11981140150095
2033-12-31,262.1593675504379,256.9873638445157,267.73525557237366
2034-12-31,265.54300554561104,259.2921503506877,271.4828387544238
