Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,2491.887513734342,2454.8906818555697,2526.893248754406
2025-12-31,2492.0594733290036,2456.145437424949,2528.3338740361296
2026-12-31,2490.249089543648,2449.3995244711914,2531.8101717179543
2027-12-31,2486.46292247193,2437.421921675848,2531.859390416332
2028-12-31,2499.1517665690812,2438.9250636467305,2552.39018317448
2029-12-31,2499.3237261637205,2426.58553126877,2566.7812413578135
2030-12-31,2497.5133423783755,2412.2061749002123,2575.4243910617374
2031-12-31,2493.727175306558,2392.147804452828,2591.4691011479545
2032-12-31,2506.4160194038054,2385.0517130947815,2615.5385585002973
2033-12-31,2506.587978998487,2370.12598944382,2638.5337563635667
2034-12-31,2504.777595213053,2346.4295728153393,2655.2529271150656
