Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,1960.126748196186,1912.1135610752767,2008.3055594859106
2025-12-31,1967.684896191654,1922.4613750713943,2016.2906816902735
2026-12-31,1974.9617313575686,1924.941169701736,2021.893642238227
2027-12-31,1981.955505113405,1932.889333028832,2031.3137566000903
2028-12-31,1983.1876014640409,1926.962981715626,2032.1440069383173
2029-12-31,1990.7457494595226,1931.6225098522934,2052.6963474447393
2030-12-31,1998.022584625418,1936.7190473481614,2057.9517982571388
2031-12-31,2005.0163583812716,1937.6011519895872,2075.543014227708
2032-12-31,2006.2484547319145,1928.4555119952588,2086.510684775064
2033-12-31,2013.8066027273646,1923.138158441442,2098.1640541439665
2034-12-31,2021.0834378932977,1920.6759629391497,2118.589101404812
