Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,573510906458.3807,545846763924.4987,603344229692.6731
2025-12-31,587196122788.7484,558187551531.5918,616351377076.2677
2026-12-31,599895984379.3628,571325569033.1456,626544224515.7919
2027-12-31,611613552462.5642,583098601720.8171,638624688633.9868
2028-12-31,628614063978.6581,599092473593.8898,656766355894.3097
2029-12-31,642299280309.0203,613035015291.6997,671857134841.5175
2030-12-31,654999141899.624,625055005779.7104,685249766753.7213
2031-12-31,666716709982.7848,636489066016.7043,697623595472.3729
2032-12-31,683717221498.9331,652089597662.1144,712517482083.7048
2033-12-31,697402437829.3079,664347866742.2144,729193423992.0648
2034-12-31,710102299419.8916,676693189852.3318,743332632865.3705
