Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,8089.742758680991,7800.639215805319,8372.611914345593
2025-12-31,8434.155857808217,8129.209756854007,8725.867908114036
2026-12-31,8809.180993729518,8510.743356752146,9099.628160408904
2027-12-31,9214.57429162622,8911.550581142763,9531.670494348587
2028-12-31,8989.766695863967,8707.305761477865,9274.78240795594
2029-12-31,9334.179794992328,9038.023484961883,9655.423140207733
2030-12-31,9709.204930912712,9401.650260997743,10008.532811003886
2031-12-31,10114.598228812472,9808.217694949148,10417.246377436704
2032-12-31,9889.790633048173,9586.723130723827,10183.384788382667
2033-12-31,10234.203732174046,9899.501849365697,10532.156826550283
2034-12-31,10609.228868097996,10275.535652031285,10911.61082488073
