Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,-0.042573748950353346,-0.10175969335059551,0.013980801418494785
2025-12-31,-0.08885027662971433,-0.15010768416447756,-0.02821073164611332
2026-12-31,-0.13512485057692533,-0.19499867309635424,-0.07612974924322934
2027-12-31,-0.1813972425746214,-0.2383185443678302,-0.12164342609934617
2028-12-31,-0.22702055463058815,-0.2878287062153847,-0.16649846325112502
2029-12-31,-0.27329708230995103,-0.3314104233817508,-0.2182970103955588
2030-12-31,-0.31957165625715916,-0.38043580137663197,-0.2583707072229435
2031-12-31,-0.36584404825485817,-0.42431368473115844,-0.30699172141384706
2032-12-31,-0.4114673603108246,-0.46615866870263195,-0.3482356710362046
2033-12-31,-0.45774388799018406,-0.5188271288175688,-0.39899051872316166
2034-12-31,-0.5040184619373975,-0.5642378131848836,-0.44712459066764093
