Year,Country
2024,Brunei Darussalam
2025,Brunei Darussalam
2026,Brunei Darussalam
2027,Brunei Darussalam
2028,Brunei Darussalam
2029,Brunei Darussalam
2030,Brunei Darussalam
2031,Brunei Darussalam
2032,Brunei Darussalam
2033,Brunei Darussalam
2034,Brunei Darussalam
2035,Brunei Darussalam
2024,Cambodia
2025,Cambodia
2026,Cambodia
2027,Cambodia
2028,Cambodia
2029,Cambodia
2030,Cambodia
2031,Cambodia
2032,Cambodia
2033,Cambodia
2034,Cambodia
2035,Cambodia
2024,Indonesia
2025,Indonesia
2026,Indonesia
2027,Indonesia
2028,Indonesia
2029,Indonesia
2030,Indonesia
2031,Indonesia
2032,Indonesia
2033,Indonesia
2034,Indonesia
2035,Indonesia
2024,Lao PDR
2025,Lao PDR
2026,Lao PDR
2027,Lao PDR
2028,Lao PDR
2029,Lao PDR
2030,Lao PDR
2031,Lao PDR
2032,Lao PDR
2033,Lao PDR
2034,Lao PDR
2035,Lao PDR
2024,Malaysia
2025,Malaysia
2026,Malaysia
2027,Malaysia
2028,Malaysia
2029,Malaysia
2030,Malaysia
2031,Malaysia
2032,Malaysia
2033,Malaysia
2034,Malaysia
2035,Malaysia
2024,Myanmar
2025,Myanmar
2026,Myanmar
2027,Myanmar
2028,Myanmar
2029,Myanmar
2030,Myanmar
2031,Myanmar
2032,Myanmar
2033,Myanmar
2034,Myanmar
2035,Myanmar
2024,Philippines
2025,Philippines
2026,Philippines
2027,Philippines
2028,Philippines
2029,Philippines
2030,Philippines
2031,Philippines
2032,Philippines
2033,Philippines
2034,Philippines
2035,Philippines
2024,Singapore
2025,Singapore
2026,Singapore
2027,Singapore
2028,Singapore
2029,Singapore
2030,Singapore
2031,Singapore
2032,Singapore
2033,Singapore
2034,Singapore
2035,Singapore
2024,Thailand
2025,Thailand
2026,Thailand
2027,Thailand
2028,Thailand
2029,Thailand
2030,Thailand
2031,Thailand
2032,Thailand
2033,Thailand
2034,Thailand
2035,Thailand
2024,Vietnam
2025,Vietnam
2026,Vietnam
2027,Vietnam
2028,Vietnam
2029,Vietnam
2030,Vietnam
2031,Vietnam
2032,Vietnam
2033,Vietnam
2034,Vietnam
2035,Vietnam
