Year,Demand (TWh),"Population, total",Population growth (annual %),Urban population (% of total),Rural population (% of total),GDP (current US$),GNI per capita,Industry (% of GDP),Manufacturing (% of GDP),Foreign direct investment (% of GDP),Energy use (kg of oil equivalent per capita),Electric power consumption (kWh per capita),Residential energy consumption (% of total),Renewable electricity output (% of total),Fossil fuel electricity production (%),Fossil fuel energy consumption (% of total),Access to electricity (% of population),Electric power transmission and distribution losses (% of output),Access to clean fuels and technologies for cooking,Energy imports (% of energy use),CO2 intensity (kg per 2015 US$ GDP),Energy productivity (GDP per unit energy),Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),PM2.5 air pollution (micrograms per cubic meter),CO2 emissions (metric tons per capita),Country
2000,2.54,326424,2.171847504,71.164,28.836,6570999060,19390,66.26658255,2.459671565,,7304.934686,7701.639585,0,0,100,,100,1.140385372,100,-725.5084282,0.217425045,4.34,8.99628,28.44941694,7.152370717,14.14020184,Brunei Darussalam
2001,2.58,333345,2.09808399,71.652,28.348,6096155748,19270,62.7475897,2.296414467,0.995621604,6623.009195,7325.743599,0,0,100,,100,5.312136487,100,-799.196783,0.197886255,3.91,12.9178,41.96767112,7.144199984,13.25056672,Brunei Darussalam
2002,2.71,340099,2.0058762,72.046,27.954,6333082879,18960,63.08118111,2.857530165,3.626542713,6343.405891,7518.399054,0,0,100,99.9999073,100,5.331358756,100,-839.3335731,0.182285813,3.68,15.3299,44.21967231,7.163598698,12.62269977,Brunei Darussalam
2003,3.2,346637,1.904137119,72.421,27.579,7167725265,19840,66.48449806,2.496517805,1.727478476,7226.392451,8715.168894,0,0,100,100,100,5.327483547,100,-746.201598,0.182115092,4.15,19.595,50.09673912,7.18894519,12.99158717,Brunei Darussalam
2004,3.26,352911,1.793777762,72.794,27.206,8619178799,22190,70.19104535,2.114137439,1.313418245,6507.901426,8755.748617,0,0,100,100,100,5.330882353,100,-803.4359584,0.191987119,3.79,29.7156,56.16529944,7.198617793,13.90208971,Brunei Darussalam
2005,3.26,358916,1.687247732,73.163,26.837,10547202612,25670,73.15300533,1.672249997,1.659857338,6179.468176,8609.256762,0,0,100,100,100,5.330882353,100,-849.5552119,0.185556127,3.65,36.4664,63.5094637,7.17099484,13.70764162,Brunei Darussalam
2006,3.3,364663,1.58852616,73.529,26.471,12644616446,30720,74.92626122,1.226915052,0.694676099,8642.283423,8561.329227,0,0,100,100,100,5.336567617,100,-608.1367378,0.167514858,4.96,42.1863,80.84590459,7.044498108,13.13286158,Brunei Darussalam
2007,3.39,370873,1.688604653,73.892,26.108,13432029496,33470,73.39510643,1.104460839,1.918069921,8701.728085,8709.180771,0,0,100,100,100,4.860088365,100,-542.8667442,0.2819777,5.07,44.68,96.67060948,6.820393116,22.45018193,Brunei Darussalam
2008,3.42,377793,1.848674063,74.252,25.748,15926456492,36700,76.43208179,0.902506028,1.395065811,9377.278033,8626.417112,0,0,100,,100,4.791118902,100,-495.8800283,0.305617354,5.68,46,103.7155978,6.571323808,24.04688439,Brunei Darussalam
2009,3.62,384952,1.877222462,74.608,25.392,11912904529,35470,67.29548108,1.222361333,2.733059994,7904.377689,8816.683638,0,0,100,99.99993427,100,6.035437431,100,-522.4286399,0.266178505,4.97,49,105.7828245,6.369934127,20.48624704,Brunei Darussalam
2010,3.79,392332,1.898976893,74.961,25.039,13707121031,35370,68.65335068,1.249452719,3.507036879,8259.163158,8727.302387,0,0,100,,100,9.70464135,100,-473.1907266,0.267423199,5.15,53,109.8603214,6.288868017,21.10594553,Brunei Darussalam
2011,3.73,399389,1.782745917,75.31,24.69,18524791071,36520,73.67241439,1.220715855,3.730949184,9697.024705,8658.225439,0.004441134,0.053691275,99.94630872,99.99563633,100,7.167785235,100,-382.7048053,0.298504432,5.94,56,110.3746893,7.225343252,24.60717794,Brunei Darussalam
2012,3.93,405557,1.532555159,75.656,24.344,19048443340,41690,72.6556143,1.458303967,4.540545087,9443.915405,9091.200497,0.004490808,0.050890585,99.94910941,99.9955353,100,6.183206107,100,-383.5423125,0.289575066,5.82,60.2731,115.5191155,7.641740714,24.18076388,Brunei Darussalam
2013,4.4,411202,1.382314706,75.997,24.003,18094148099,44580,70.02244393,1.145192419,4.286776224,7398.20818,9710.555883,0.005653881,0.045433894,99.95456611,99.99437899,100,9.291231259,100,-458.3725434,0.235051116,4.72,64.5,113.8721697,7.810452268,19.23359197,Brunei Darussalam
2014,4.5,416750,1.340194369,76.332,23.668,17097797372,42370,67.84963064,1.586758563,3.356609014,8527.805639,10118.77624,0.004839668,0.044385264,99.95561474,99.99518847,100,6.413670661,100,-357.3943792,0.276022099,5.66,68.77,108.4957375,8.038402569,22.12470124,Brunei Darussalam
2015,4.2,422212,1.302103593,76.663,23.337,12930296852,38180,61.36277769,1.617832473,1.324711797,,,,0.047619048,99.95238095,,100,,100,,,4.34,71.2,109.9533264,7.76801291,,Brunei Darussalam
2016,4.27,427564,1.259642722,76.99,23.01,11400266055,32570,57.28936408,1.809332509,-1.320590472,,,,,,,100,,100,,,4.91,90,122.8780218,7.708093727,,Brunei Darussalam
2017,4.16,432772,1.210704566,77.312,22.688,12128168047,29230,59.72058921,1.762866167,3.858188215,,,,,,,100,,100,,,5.87,94.8667,126.6006005,7.230648954,,Brunei Darussalam
2018,4.3,437810,1.157399588,77.629,22.371,13566908401,28790,63.24481837,2.134321499,3.804865525,,,,,,,100,,100,,,5.88,95,130.3207192,7.494855877,,Brunei Darussalam
2019,4.93,442680,1.106213509,77.942,22.058,13469235348,31550,62.5153214,2.327822565,2.771180083,,,,,,,100,,100,,,6.35,95,131.2182683,7.945858113,,Brunei Darussalam
2020,5.74,447404,1.061482816,78.25,21.75,12005799664,30810,59.13363013,6.832098945,4.710575649,,,,,,,100,,100,,,6.31,95.0503,121.4758051,7.597265034,,Brunei Darussalam
2021,5.7,451721,0.960274305,78.554,21.446,14006496614,29890,62.70156408,9.678450683,1.461817223,,,,,,,100,,100,,,6.33,95.6225,135.501254,,,Brunei Darussalam
2022,5.6,455370,0.804554269,78.854,21.146,16681536443,30970,67.92558548,11.62580722,-1.752933709,,,,,,,100,,100,,,,98.9704,117.7551548,,,Brunei Darussalam
2023,5.59,458949,0.782881747,79.149,20.851,15128292981,34480,61.80076976,10.35635051,-0.337068037,,,,,,,,,,,,,,,,,Brunei Darussalam
2024,,462721,,79.439,20.561,,,,,,,,,,,,,,,,,,,,,,Brunei Darussalam
2025,,466330,,79.726,20.274,,,,,,,,,,,,,,,,,,,,,,Brunei Darussalam
2026,,469775,,80.007,19.993,,,,,,,,,,,,,,,,,,,,,,Brunei Darussalam
2027,,473156,,80.285,19.715,,,,,,,,,,,,,,,,,,,,,,Brunei Darussalam
2028,,476433,,80.559,19.441,,,,,,,,,,,,,,,,,,,,,,Brunei Darussalam
2029,,479495,,80.828,19.172,,,,,,,,,,,,,,,,,,,,,,Brunei Darussalam
2030,,482447,,81.093,18.907,,,,,,,,,,,,,,,,,,,,,,Brunei Darussalam
2031,,485316,,81.353,18.647,,,,,,,,,,,,,,,,,,,,,,Brunei Darussalam
2032,,487952,,81.61,18.39,,,,,,,,,,,,,,,,,,,,,,Brunei Darussalam
2033,,490437,,81.863,18.137,,,,,,,,,,,,,,,,,,,,,,Brunei Darussalam
2034,,492894,,82.111,17.889,,,,,,,,,,,,,,,,,,,,,,Brunei Darussalam
2035,,495290,,82.355,17.645,,,,,,,,,,,,,,,,,,,,,,Brunei Darussalam
2000,0.33,12462336,1.59016993,18.586,81.414,3694168979,290,21.64559865,15.82616625,3.202575924,273.8144759,31.93622769,0.002520244,0.223214286,99.77678571,20.33628847,16.6,11.16071429,3.5,20.33631777,0.148160899,7.94,0.0470226,1.077223474,29.79872148,0.162644456,Cambodia
2001,0.28,12658484,1.561668659,18.703,81.297,4145665970,310,23.26462579,17.2541894,3.533376691,270.9766825,35.78627583,0.002507176,0.196463654,99.80353635,21.64185631,9.5,11.00196464,4.1,21.64188547,0.153579926,7.51,0.0769561,1.811108143,29.90572447,0.18153944,Cambodia
