Year,Demand (TWh),"Population, total",Population growth (annual %),Urban population (% of total),Rural population (% of total),GDP (current US$),GNI per capita,Industry (% of GDP),Manufacturing (% of GDP),Foreign direct investment (% of GDP),Energy use (kg of oil equivalent per capita),Electric power consumption (kWh per capita),Residential energy consumption (% of total),Renewable electricity output (% of total),Fossil fuel electricity production (%),Fossil fuel energy consumption (% of total),Access to electricity (% of population),Electric power transmission and distribution losses (% of output),Access to clean fuels and technologies for cooking,Energy imports (% of energy use),CO2 intensity (kg per 2015 US$ GDP),Energy productivity (GDP per unit energy),Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),PM2.5 air pollution (micrograms per cubic meter),CO2 emissions (metric tons per capita)
2000,2.54,326424,2.17184750364769,71.164,28.836,6570999059.70575,19390.0,66.2665825490249,2.45967156476995,,7304.93468617504,7701.63958532461,0.0,0.0,100.0,,100.0,1.14038537160834,100.0,-725.508428160801,0.217425044748115,4.34,8.99628,28.44941694,7.15237071655279,14.1402018359085
2001,2.58,333345,2.09808399029796,71.652,28.348,6096155747.56182,19270.0,62.747589703032,2.29641446656721,0.995621604337453,6623.00919467819,7325.74359897404,0.0,0.0,100.0,,100.0,5.31213648701047,100.0,-799.196782964715,0.1978862552886,3.91,12.9178,41.96767112,7.14419998443377,13.2505667167475
2002,2.71,340099,2.00587619956124,72.046,27.954,6333082878.97992,18960.0,63.0811811095942,2.85753016535136,3.62654271330788,6343.40589063773,7518.39905439299,0.0,0.0,100.0,99.9999072952175,100.0,5.33135875601629,100.0,-839.333573129704,0.182285812677355,3.68,15.3299,44.21967231,7.16359869799834,12.6226997667694
2003,3.2,346637,1.90413711851639,72.421,27.579,7167725264.75135,19840.0,66.4844980628421,2.49651780543055,1.72747847570747,7226.39245089243,8715.16889426114,0.0,0.0,100.0,100.0,100.0,5.32748354747728,100.0,-746.201598045458,0.182115092309025,4.15,19.595,50.09673912,7.18894518991816,12.9915871744735
2004,3.26,352911,1.79377776163247,72.794,27.206,8619178799.47025,22190.0,70.1910453455162,2.1141374391862,1.31341824546458,6507.90142557189,8755.74861650671,0.0,0.0,100.0,100.0,100.0,5.33088235294118,100.0,-803.435958392657,0.191987118895732,3.79,29.7156,56.16529944,7.19861779286489,13.9020897133146
2005,3.26,358916,1.68724773243682,73.163,26.837,10547202612.4295,25670.0,73.1530053254546,1.6722499966591,1.65985733844246,6179.46817639782,8609.25676202788,0.0,0.0,100.0,100.0,100.0,5.33088235294118,100.0,-849.55521188867,0.185556126971193,3.65,36.4664,63.5094637,7.17099483951018,13.7076416236259
2006,3.3,364663,1.58852615956489,73.529,26.471,12644616446.1918,30720.0,74.9262612239589,1.2269150521277,0.694676099407027,8642.2834233251,8561.32922725914,0.0,0.0,100.0,100.0,100.0,5.33656761673742,100.0,-608.136737784708,0.167514857644731,4.96,42.1863,80.84590459,7.04449810766191,13.1328615800135
2007,3.39,370873,1.68860465252749,73.892,26.108,13432029495.6785,33470.0,73.3951064270473,1.10446083928724,1.91806992064155,8701.7280848161,8709.18077077598,0.0,0.0,100.0,100.0,100.0,4.860088365243,100.0,-542.866744173652,0.281977699533045,5.07,44.68,96.67060948,6.82039311579094,22.4501819326476
2008,3.42,377793,1.84867406299599,74.252,25.748,15926456491.5178,36700.0,76.4320817859321,0.902506028214556,1.39506581145342,9377.27803320866,8626.41711201637,0.0,0.0,100.0,,100.0,4.79111890154835,100.0,-495.880028340207,0.305617353858517,5.68,46.0,103.7155978,6.57132380756337,24.0468843934903
2009,3.62,384952,1.87722246166003,74.608,25.392,11912904529.0722,35470.0,67.2954810785281,1.22236133267364,2.73305999382492,7904.3776886469,8816.6836384796,0.0,0.0,100.0,99.9999342711957,100.0,6.03543743078627,100.0,-522.428639880426,0.266178504993691,4.97,49.0,105.7828245,6.36993412664528,20.4862470425148
2010,3.79,392332,1.89897689252094,74.961,25.039,13707121031.2552,35370.0,68.6533506775087,1.24945271925881,3.50703687947849,8259.16315773376,8727.30238675408,0.0,0.0,100.0,,100.0,9.70464135021097,100.0,-473.19072663497,0.267423198612802,5.15,53.0,109.8603214,6.28886801670278,21.1059455259326
2011,3.73,399389,1.78274591747739,75.31,24.69,18524791070.6802,36520.0,73.6724143877158,1.22071585484908,3.7309491837843,9697.02470523725,8658.22543935862,0.00444113367683264,0.0536912751677852,99.9463087248322,99.9956363279571,100.0,7.16778523489933,100.0,-382.704805332459,0.298504431777784,5.94,56.0,110.3746893,7.22534325195967,24.6071779357534
2012,3.93,405557,1.53255515873327,75.656,24.344,19048443339.9457,41690.0,72.6556143000405,1.45830396709514,4.54054508745042,9443.9154052328,9091.20049709412,0.00449080768220538,0.0508905852417303,99.9491094147583,99.9955353016648,100.0,6.18320610687023,100.0,-383.542312546638,0.289575065618845,5.82,60.2731,115.5191155,7.64174071359111,24.1807638812452
2013,4.4,411202,1.38231470645459,75.997,24.003,18094148099.4922,44580.0,70.0224439279192,1.14519241910596,4.28677622359633,7398.2081799213,9710.5558825103,0.00565388122510402,0.0454338936846888,99.9545661063153,99.9943789901774,100.0,9.29123125851885,100.0,-458.372543437915,0.235051116300252,4.72,64.5,113.8721697,7.81045226819353,19.2335919707381
2014,4.5,416750,1.34019436885468,76.332,23.668,17097797371.9718,42370.0,67.8496306363655,1.58675856271092,3.35660901431162,8527.80563887223,10118.7762447511,0.00483966771741855,0.0443852640923213,99.9556147359077,99.9951884698856,100.0,6.41367066134043,100.0,-357.394379176148,0.276022099239291,5.66,68.77,108.4957375,8.03840256929202,22.1247012416688
2015,4.2,422212,1.30210359279592,76.663,23.337,12930296852.4882,38180.0,61.3627776894002,1.6178324732843,1.3247117972472,,,,0.0476190476190476,99.9523809523809,,100.0,,100.0,,,4.34,71.2,109.9533264,7.76801290951484,
