Year,Demand (TWh),"Population, total",Population growth (annual %),Urban population (% of total),Rural population (% of total),GDP (current US$),GNI per capita,Industry (% of GDP),Manufacturing (% of GDP),Foreign direct investment (% of GDP),Energy use (kg of oil equivalent per capita),Electric power consumption (kWh per capita),Residential energy consumption (% of total),Renewable electricity output (% of total),Fossil fuel electricity production (%),Fossil fuel energy consumption (% of total),Access to electricity (% of population),Electric power transmission and distribution losses (% of output),Access to clean fuels and technologies for cooking,Energy imports (% of energy use),CO2 intensity (kg per 2015 US$ GDP),Energy productivity (GDP per unit energy),Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),PM2.5 air pollution (micrograms per cubic meter),CO2 emissions (metric tons per capita)
2000,0.33,12462336.0,1.59016992993238,18.586,81.414,3694168979.32019,290.0,21.6455986512559,15.8261662510115,3.20257592365611,273.814475873544,31.9362276863663,0.00252024400650809,0.223214285714286,99.7767857142857,20.3362884659568,16.6,11.1607142857143,3.5,20.3363177711196,0.148160899487016,7.94,0.0470226,1.077223474,29.7987214798005,0.162644455551575
2001,0.28,12658484.0,1.56166865874357,18.703,81.297,4145665969.92864,310.0,23.2646257907737,17.2541894040738,3.53337669089549,270.976682515853,35.7862758289223,0.00250717606264908,0.196463654223969,99.803536345776,21.6418563131568,9.5,11.0019646365422,4.1,21.6418854663668,0.15357992599145,7.51,0.0769561,1.811108143,29.9057244650667,0.181539439755281
2002,0.58,12855241.0,1.54239258007881,18.82,81.18,4501227626.62752,320.0,25.3793058382166,18.9154863158961,2.90934773211661,310.725252058674,49.4739849684654,0.0548982487692918,4.12087912087912,95.8791208791209,18.6214465678362,13.1,13.5989010989011,4.6,18.6365425210192,0.139147328747697,7.05,0.226983,3.025049479,30.0191592913356,0.174719536920816
2003,0.65,13050968.0,1.5110719151833,18.937,81.063,5046693484.31767,370.0,26.3428745441044,19.8968986028874,1.61651685032136,315.288030742241,50.724206817456,0.0738542981529663,6.42201834862385,93.5779816513761,19.5471289832299,19.3,14.9410222804718,5.2,19.5742991056218,0.13554855100476,6.69,0.26057,3.897398361,30.098509540539,0.185159887977429
2004,0.78,13244731.0,1.47375057040259,19.055,80.945,5883297159.87352,430.0,27.6802685813967,21.2194689273508,2.2337173477841,255.895193341412,54.965253729955,0.0639088498000893,5.15337423312883,94.8466257668712,24.4328044179516,14.2,12.760736196319,6.1,24.4785075693447,0.12287408694215,6.23,0.300437,6.618588238,30.1032587946087,0.187232520350595
2005,0.98,13439202.0,1.4576145365221,19.174,80.826,7066296463.3598,510.0,27.4192470160455,20.7794318646994,5.36603852621256,255.663171072211,65.9265334355418,0.100524111668848,6.12033195020747,93.8796680497925,27.1997890514563,20.5,11.0995850622407,6.8,27.3621041767986,0.11929929786409,5.73,0.317322,8.01716186,29.9928906354765,0.209184397433016
2006,1.22,13639028.0,1.47594305468246,19.293,80.707,8350531016.65753,580.0,29.0700225848228,22.0996133735908,5.7865707192619,251.436612638379,79.771080461159,0.119243174583179,5.76759966072943,94.2324003392706,29.4288044589195,27.5,12.0441051738762,7.5,29.6840714175948,0.112908615178056,5.31,0.468357,12.77398895,29.6130476724133,0.222613710991192
2007,1.59,13841770.0,1.47554433066197,19.413,80.587,10127916459.8983,670.0,28.1400350776131,21.2708661128182,8.56334609470361,251.273789406991,99.4092518514612,0.114241617630907,4.55764075067024,95.4423592493298,32.9681312128494,20.2,14.4772117962466,8.4,33.4295935049111,0.115283599293713,5.03,0.49,18.83599976,28.8642622907811,0.25337375051118
2008,1.76,14053479.0,1.51791486007376,19.571,80.429,12174303999.0812,780.0,26.0495966887473,19.6900110312326,6.69590818514056,248.24209009029,113.210401495601,0.124447288576003,4.3859649122807,95.6140350877193,32.7345560551099,26.4,11.0661268556005,9.4,34.6956787195102,0.119207108064417,4.76,0.51,30.3860731,27.7883527366484,0.280826949501636
2009,1.99,14276810.0,1.57665618141569,19.93,80.07,12502901169.7377,840.0,25.5665162922046,19.0921648734407,7.42542554520067,355.868923099768,126.288715756531,0.115116225744109,5.37124802527646,94.6287519747235,27.9439948211585,25.6,14.0600315955766,10.4,29.0926418606354,0.141113456647219,5.07,0.53,44.2788579,26.427137256084,0.330259354581565
