Year,GDP (current US$),Industry (% of GDP),Manufacturing (% of GDP),Foreign direct investment (% of GDP),Energy use (kg of oil equivalent per capita),Access to clean fuels and technologies for cooking,Energy imports (% of energy use),Population growth rate,GNI per capita,Electric power consumption (kWh per capita),Access to electricity (% of population),Electric power transmission and distribution losses (% of output),Fossil fuel energy consumption (% of total),Urban population (% of total),"Population, total",Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),PM2.5 air pollution (micrograms per cubic meter)
2000,165021012077.81,41.9690746432197,22.6597512077359,-2.75743993350903,720.369553020697,6.7,-52.5666611423003,1.43244007763682,570,382.177177950589,86.3,11.5135279935709,61.9522672519218,42.002,216077790,0.925564,1.714058712,26.2052017856205
2001,160446947784.909,47.8935007853871,30.7545972173123,-1.85568619300523,727.132877794512,7.5,-51.8184045011989,1.38801892806803,700,402.696690358998,86.3,12.8627017204259,61.4567561997716,42.783,219097902,2.01861,3.003488464,25.8543760470568
2002,195660611165.183,47.7453311592597,31.9532784940709,0.0741516383181159,743.975400436659,8.8,-50.286293134744,1.35572575488289,780,408.602885980203,87.6,16.1444135394624,62.5492538730196,43.568,222088495,2.13414,5.31540109,25.5291686460049
2003,234772463823.808,43.7495660917608,28.2528418444569,-0.254256320381005,736.276643692843,10.4,-53.9882909101057,1.32378197652859,880,419.825977753156,87.9,16.3692531024838,62.4420226939689,44.356,225048008,2.38702,8.290855733,25.1975719602112
2004,256836875295.452,44.6276159754602,28.0658265856536,0.738243979887563,774.982863017479,12.5,-50.1742911075702,1.27101139474106,1060,464.715295314152,89.0,11.8522340487504,64.3164471823184,45.149,227926649,2.60029,13.42692564,24.8275783674222
2005,285868619196.085,46.5410588710711,27.4075074800459,2.91611483313067,778.643103213409,15.0,-55.914624816494,1.28380661170743,1200,490.714212853765,84.8,11.1637353072634,64.9962452984458,45.942,230871650,3.60202,20.5021492,24.3871802453844
2006,364570515618.358,46.9435587410795,27.5375740802453,1.3479426406893,786.463974188992,18.5,-70.8317495454458,1.32525502272966,1350,505.813910645093,90.6,11.0737044607431,65.1770813902277,46.738,233951652,4.76481,27.52533357,23.8860554289587
2007,432216737774.861,46.7991415207073,27.0484127487931,1.6030105718879,772.487879422196,23.0,-74.0946324572424,1.32086532413059,1570,535.352859530782,91.1,10.7202903954246,64.5846374090852,47.535,237062337,5.78627,39.76307645,23.3156711321389
2008,510228634992.255,48.0607447690175,27.8142729854304,1.82632902403999,777.617865858864,28.45,-73.6338643639194,1.29735043016571,1900,558.932262162532,92.7,10.108085664921,63.8070770740834,48.335,240157903,7.91748,59.08224127,22.6167038013704
2009,539580085612.401,47.6521225811621,26.3554745271064,0.903919419654062,829.998798454213,34.2,-74.3997566461944,1.26698625068088,2110,582.711058646864,93.6,9.59853036855601,65.5207245811215,49.134,243220028,6.92,67.92102195,21.7298298830988
2010,755094157594.524,42.7758663362749,22.0386285924438,2.02517914576708,861.154360278094,40.6,-79.04613071007,1.26054140134601,2490,624.440425205266,94.2,9.39825041972254,67.1547878248677,49.914,246305322,10.92,86.58861927,20.5957258237696
2011,892969104529.572,43.9134234267133,21.7608545038476,2.30298429390257,819.014453808223,46.6,-106.708155531383,1.27668830646548,2960,668.408941399422,94.8,9.08966998696958,65.3021441970397,50.595,249470032,12.28,101.095073,17.9185723142468
2012,917869913364.917,43.5937444233376,21.4509550553875,2.30978031844954,838.871821669715,52.6,-107.211073417706,1.28583816632167,3520,721.048925790129,96.0,8.92216167574864,65.3447506537263,51.276,252698525,14.52,112.6850884,19.553351601333
2013,912524136718.018,42.6356774375889,21.0286886817218,2.55135633401058,850.157168896871,58.1,-112.283750758322,1.24038001568984,3670,761.747589480933,96.5,9.58290898990834,65.2656868066395,51.955,255852467,14.94,123.6702315,20.1029935644832
2014,890814755511.014,41.9283421270033,21.0751760505565,2.81997260419232,871.119668503777,63.0,-103.091329547663,1.17536091203837,3570,800.150962579781,97.0,9.40116554617424,66.089475456589,52.635,258877399,17.1432,127.0667453,18.5354648917633
2015,860854232717.718,40.0478624042506,20.9857874310206,2.29761639372032,,67.3,,1.12233981761262,3390,910.0,97.5,,,53.313,261799249,22.0627,130.8216306,18.6712786457665
2016,931877364034.196,39.3084439802081,20.5229746805052,0.48737247137071,,71.6,,1.0744882002252,3370,956.0,97.6,,,53.989,264627418,25.4474,147.24962,19.1310042759597
2017,1015618744168.08,39.3791548040237,20.1600223614347,2.01948919810922,,75.5,,1.02232939771064,3490,1021.0,98.1,,,54.659,267346658,32.3358,164.5351584,16.9555634840925
2018,1042271532953.49,39.7297374523848,19.8631933835963,1.81428979355558,,78.9,,0.969743409524713,3810,1064.0,98.5,,,55.325,269951846,39.9046,119.6084851,18.4371895829409
2019,1119099871385.79,38.9517679950779,19.7035390875513,2.23336204275137,,82.1,,0.935604959235128,4020,1084.0,98.9,,,55.985,272489381,47.6906,126.5946679,19.4270918962783
2020,1059054842711.55,38.2383937187942,19.8664218856304,1.81058402024892,,84.8,,0.849801187379341,3850,,97.0,,,56.641,274814866,53.7265,130.8110952,17.8814994983985
2021,1186509691070.97,39.8448191919686,19.2434077817738,1.78785563147915,,87.2,,0.704601321926319,4130,,99.2,,,57.29,276758053,62.1045,133.6505363,
2022,1319076267291.51,41.4300472451885,18.3365234606157,1.87267638101123,,89.1,,0.746050469653246,4520,,100.0,,,57.934,278830529,66.4846,114.9005566,
