Year,GDP (current US$),Industry (% of GDP),Manufacturing (% of GDP),Foreign direct investment (% of GDP),Access to clean fuels and technologies for cooking,Population growth rate,GNI per capita,Access to electricity (% of population),Urban population (% of total),"Population, total",Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),PM2.5 air pollution (micrograms per cubic meter)
2000,1731198022.46763,16.4770694017999,8.71088702828675,1.95760389973722,1.3,1.67898547843134,280,42.6,21.977,5431212,0.111044,0.233499231,28.820009114765
2001,1768619058.34647,16.9937147919347,9.1444310735075,1.35157901983043,1.4,1.64839890567014,300,45.3,22.993,5521482,0.181664,0.535263919,28.8274106843826
2002,1758176653.07746,18.3826897329941,10.1492602809144,0.253176893420544,1.5,1.60628714871708,310,46.3,24.044,5610889,0.267899,0.983928046,28.8952739905149
2003,2023324407.28414,20.1201441501939,9.81210926959904,0.962969691363711,1.6,1.53964095162728,330,48.0,25.126,5697945,0.333912,1.97352289,28.9554957475365
2004,2366398119.86321,19.3595097686057,10.09899321317,0.714895049062071,1.8,1.45793744820894,380,53.5,26.242,5781626,0.361434,3.539963389,28.9399726698219
2005,2735558734.7379,23.2287895606829,9.64161022318721,1.01332132437858,2.0,1.50884118892528,450,57.2,27.186,5869523,0.850357,11.23409141,28.7806014717458
2006,3455030060.9785,26.1754512486046,9.455624322685,5.42138961728604,2.3,1.58338798520366,500,57.0,27.748,5963200,1.16989,16.97720022,28.4053138984033
2007,4223152739.04052,25.3930205228552,10.0618302002961,7.66062749777557,2.5,1.54812352499039,600,55.0,28.316,6056236,1.64,24.47150868,27.7775269837477
2008,5446433157.40114,26.9497231702456,10.0831015739329,4.18200303606929,2.9,1.5195940495706,740,66.0,28.893,6148969,3.55,32.95597261,26.8823653754409
2009,5836137329.63305,25.163093788149,11.6792654656985,5.45905949594973,3.2,1.49588633029834,880,67.4,29.475,6241642,6.0,51.92100072,25.7049537211446
2010,7131771014.70456,30.4660210858755,11.0944103727538,3.90935018167503,3.5,1.47192872108695,990,70.2,30.064,6334194,7.0,63.31061777,24.2304166685204
2011,8750104617.17303,30.815970194642,10.6713661460928,3.43702755895922,4.0,1.44814949802327,1130,70.0,30.66,6426590,9.0,85.42039479,20.5789011650413
2012,10192846339.4029,32.4366446720109,8.98377274194291,6.06067602678934,4.3,1.42735442034268,1350,76.4,31.264,6518978,10.7477,66.06436451,22.4365696992954
2013,11983252626.5452,30.4277075542967,8.43540228331074,5.68624628337024,4.8,1.40755477426746,1590,79.3,31.872,6611385,12.5,69.88020438,24.2423626108046
2014,13279245886.3854,28.815000545489,8.42769528413766,6.53385086120159,5.2,1.37876842701215,1810,82.5,32.487,6703172,14.26,69.02215871,21.3928997917018
2015,14426380125.6488,27.6933442499915,8.19005219527172,7.47075777292731,5.8,1.45836474920589,1960,89.7,33.108,6801645,18.2,54.91280264,20.1670988613747
2016,15912501722.6143,28.7595046372574,7.77156382707168,5.87774436155716,6.2,1.56317561333482,2110,89.0,33.736,6908802,21.87,57.44162039,22.463787282601
2017,17071155481.4994,30.91247539947,7.48353451889534,9.91778683507173,6.8,1.57029722559747,2240,93.6,34.368,7018147,25.5104,53.04168369,19.1515982168711
2018,18141641089.7963,31.533192488879,7.45272743973651,7.4856486219066,7.3,1.55377801997365,2460,92.9,35.004,7128045,36.3,51.54585373,20.9840690040935
2019,18740561512.5555,31.531381987864,7.64369194070959,4.03149139231071,8.0,1.52576304616693,2520,98.4,35.645,7237636,47.0323,64.29411986,22.4289603771825
2020,18981805250.2424,32.4163678323352,7.68478649420094,5.09807193491087,8.7,1.49338675171473,2470,99.3,36.29,7346533,54.0,63.34796067,22.3176670505669
2021,18827148530.9347,34.1299777246213,8.69509978976757,5.69344695957329,9.4,1.44141640887407,2500,100.0,36.939,7453194,62.0,64.95535792,
2022,15468785203.7532,34.1089797342112,8.80581309491413,4.69509225789708,10.2,1.40971670105791,2300,100.0,37.592,7559007,66.1548,,
