Year,Demand (TWh),"Population, total",Population growth (annual %),Urban population (% of total),Rural population (% of total),GDP (current US$),GNI per capita,Industry (% of GDP),Manufacturing (% of GDP),Foreign direct investment (% of GDP),Energy use (kg of oil equivalent per capita),Electric power consumption (kWh per capita),Residential energy consumption (% of total),Renewable electricity output (% of total),Fossil fuel electricity production (%),Fossil fuel energy consumption (% of total),Access to electricity (% of population),Electric power transmission and distribution losses (% of output),Access to clean fuels and technologies for cooking,Energy imports (% of energy use),CO2 intensity (kg per 2015 US$ GDP),Energy productivity (GDP per unit energy),Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),PM2.5 air pollution (micrograms per cubic meter),CO2 emissions (metric tons per capita)
2000,69.88,22967816.0,2.34480241175698,61.977,38.023,93789736842.1053,3490.0,48.3205714911013,30.8635497655731,4.03842862393764,2128.59533531617,2774.14273956218,1.08294121730724,10.0584795321637,89.9415204678363,94.9730969134974,98.6,7.99942242437369,97.8,-58.6133137909066,0.419477306021438,5.46,21.3847,22.32170197,23.5136706210687,5.4229371944872
2001,75.69,23526538.0,2.40351289519482,62.922,37.078,92783947368.4211,3570.0,46.2026949988513,29.3364040399457,0.597029318252079,2162.6181888725,2779.75450531651,1.09185113583093,9.92909796860053,90.0709020313995,95.1780638263954,98.6,8.00039390017444,98.0,-54.0123700348272,0.440100344514195,5.65,26.696,31.36877845,23.3307924792576,5.72264062642214
2002,80.84,24102477.0,2.41855547054066,63.856,36.144,100845526315.789,3810.0,45.1153796974529,29.2463982171795,3.16612432250471,2181.9827065907,2832.94534416525,0.804749761499968,7.14487737208582,92.8551226279142,95.6284197268942,98.6,8.00010774555886,98.1,-55.0893697248292,0.405581020893653,5.54,32.3382,37.49827327,23.2129752557118,5.52683452091923
2003,83.11,24679602.0,2.36624571909165,64.78,35.22,110202368421.053,4170.0,46.5786626994835,29.9286718930962,2.92094209456765,2283.09281486792,2916.94331213283,0.722047829917185,6.44330882259236,93.5566911774076,95.9911100418413,98.7,8.00061170653379,98.1,-50.6956753599229,0.444790980921266,5.61,34.9712,44.96469217,23.1072146751735,6.41008638647401
2004,95.54,25256772.0,2.31172452935085,65.694,34.306,124749473684.211,4720.0,48.5303176049683,30.3781473606048,3.50787262049413,2399.18486020304,2976.54823031225,0.776960828798562,7.08643235622964,92.9135676437703,96.2164669700382,98.7,8.00034028486705,98.1,-52.0792254693467,0.419656985663152,5.66,42.2523,57.67519655,22.9605064623849,6.50775334292864
2005,96.52,25836071.0,2.26772984873607,66.594,33.406,143534405818.501,5240.0,46.3683224854575,27.5496800827112,2.73438734940078,2544.0910113616,2857.55523740432,0.663562344084031,6.28016401969204,93.719835980308,96.8270839757407,98.7,8.00019353355993,98.0,-45.3960406342887,0.411109178111731,5.85,48.6292,75.39480725,22.7198463420882,6.80011647196798
2006,101.67,26417909.0,2.22705351047756,67.483,32.517,162692258307.056,5790.0,46.5156572562267,27.5660875626692,4.72716484834358,2501.712607156,3040.51316097727,0.789342073997985,7.17243682511411,92.8275631748859,96.6940755469026,98.8,7.99955471446065,97.8,-40.7188250642881,0.363071050860231,5.57,51.638,73.42192752,22.1459745460658,6.41469151530438
2007,106.29,26998389.0,2.17350461828888,68.36,31.64,193549569477.733,6560.0,44.5959960321039,26.1225839420447,4.68684578287436,2680.57790411124,3239.19327186522,0.706817748227077,6.65634357438779,93.3436564256122,96.9448283252121,98.9,7.99971286763198,97.5,-28.3541407341323,0.366654694341985,5.59,55.7,86.17480992,21.1584955616188,6.94125576108476
2008,113.35,27570059.0,2.09531674831339,69.225,30.775,230811614370.384,7420.0,45.1050654004356,24.5607176579228,3.28081949125174,2744.00801971443,3246.27524373452,0.805482309280532,7.62875635218454,92.3712436478155,96.7602257708384,99.0,7.99991820124539,97.2,-26.9661623574635,0.37869033561304,5.65,55.8,100.1760536,19.9427014967672,7.52577775520397
2009,116.02,28124778.0,1.99206021194285,70.075,29.925,202257453036.641,7500.0,40.9678238412473,23.8001450501293,0.056692316075743,2555.84477857923,3887.46179614289,0.739097656320482,7.00585329689749,92.9906985164177,96.6643483947923,99.3,5.67485323655423,96.9,-24.7207893952925,0.371968734846848,5.42,55.9,106.8284441,18.6838844595312,7.20424991024395
2010,124.89,28655776.0,1.87040612656176,70.912,29.088,255017638455.59,8130.0,40.4989323548818,23.4337755680919,4.26864663854031,2560.80226199423,4080.74797904618,0.674423607572539,5.99265943294921,94.0041350792557,96.896213032511,99.5,6.16896126168,96.5,-21.7027753593753,0.37579512533253,5.23,56.3,117.9017242,17.5673365579308,7.77155474604007
2011,127.43,29162039.0,1.75128008243176,71.609,28.391,297951668674.835,8890.0,39.8242687277964,23.3202044896916,5.07446032143377,2623.8471185091,4030.71952547625,0.742472353628485,6.71436859408238,93.282537226842,96.81165029369,99.5,9.35292980081222,95.9,-14.7370616925982,0.352768675617316,5.18,61.0,125.6206583,16.5543727413676,7.69701588203133
2012,134.17,29662831.0,1.70269513202166,72.275,27.725,314443047642.111,9980.0,40.1350010090069,23.1381762920437,2.8290573817453,2624.83537056864,4251.58340415991,0.905848220129533,7.38348427233016,92.6105625051161,96.7402331937941,99.8,6.22111756870391,95.2,-11.868809790613,0.325882698122127,4.99,65.8,139.3270554,17.9101382186238,7.49755896856738
2013,141.16,30174265.0,1.70946282045073,72.93,27.07,323276235524.415,10590.0,39.8853736547897,22.8407424205833,3.49431175959971,2909.99247206187,4414.68913990117,0.971156809299827,8.57764477983057,91.4158498857952,96.7518810939698,99.6,3.84971231965767,94.5,-5.76051303676827,0.331260860456503,5.38,57.0575,142.7087288,18.7954198873143,7.96151399932217
2014,147.48,30696137.0,1.7147407282165,73.577,26.423,338066095097.254,10840.0,39.9244244845871,22.8739302431305,3.14122940365348,2922.28592151514,4526.23729168266,1.18068772456147,9.70780299588388,90.2921970041161,96.6281988978081,99.7,5.79240382724505,93.5,-5.50502894059521,0.315172421297865,5.18,63.6654,146.794505,17.1052502297433,8.03299157864044
2015,150.12,31232798.0,1.73319445645586,74.213,25.787,301355266964.947,10350.0,38.4496697879603,22.2932974814824,3.27094402931735,,,,9.95716845520007,90.0428315447999,,99.9,,92.7,,,4.72,71.0641,141.9557664,16.9297330913892,
