Year,GDP (current US$),Industry (% of GDP),Manufacturing (% of GDP),Foreign direct investment (% of GDP),Energy use (kg of oil equivalent per capita),Electric power consumption (kWh per capita),Access to electricity (% of population),Electric power transmission and distribution losses (% of output),Fossil fuel energy consumption (% of total),Urban population (% of total),"Population, total",Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),PM2.5 air pollution (micrograms per cubic meter)
2000,8905066163.58643,9.69226113586128,,2.86117768008645,283.550199476314,77.6315900161801,41.9,31.3012895662368,27.18147716903,27.025,45290841,,0.029419172,39.5272329221873
2001,6477790688.22844,10.5804943321805,,3.21565753506977,274.183672816182,70.5466385706504,43.0,31.1367029217317,23.6261762134693,27.208,45771139,0.000289277,0.049268903,39.7428390610683
2002,6777632512.0781,13.0068954922166,,2.22070502562137,280.615196363488,75.3579942730087,47.0,31.2549329123915,24.0738623903879,27.391,46232653,0.000426494,0.103230987,40.1768875885917
2003,10467109977.6717,14.2582573952557,,2.3777576671811,301.526091392,82.477642965962,45.1,29.0506912442396,27.1169855741187,27.575,46667192,0.0240641,0.141753867,40.6510344092112
2004,10567354056.4049,16.3663619555986,,2.0001628964787,315.405275497733,83.0699385996303,46.2,30.2906043858085,30.1346938673784,27.76,47068772,0.0243374,0.195300032,40.9869354273807
2005,11986972418.5103,17.512204636055,,1.95966396539679,314.009135854492,77.2370632925481,47.3,39.0957446808511,29.4773524309751,27.946,47438365,0.0652389,0.269672968,41.0062465475539
2006,14502553709.8303,19.2372930203744,,1.90182128285749,316.144215141382,91.1371287326069,48.4,29.3478260869565,29.8155940222125,28.132,47785135,0.182048,0.445459947,40.5461049761885
2007,20182477480.5512,20.4091296662276,,3.5175166973129,325.701090802142,92.238878622924,49.5,30.6297859040475,31.7040885638914,28.319,48125043,0.217128,0.511172861,39.5962241482972
2008,31862554101.9378,22.6658154224732,,2.71127181000311,312.261921394841,97.1465791023511,50.6,29.009362730293,28.4497335049921,28.507,48390793,0.22,0.753933666,38.2071243111665
2009,36906181380.8127,24.5320050982062,,2.92355415980151,294.199053897128,102.60897867815,51.8,28.3026995979322,23.2788653089046,28.695,48660459,0.22,1.024169005,36.4293257120831
2010,49540813342.4834,26.4680642743774,19.8620828512879,1.81897202342465,286.00283018356,128.30350416248,48.8,16.6114278138672,21.2235591585033,28.885,49024382,0.25,1.202648548,34.3133485983332
2011,59977326085.9908,31.2916488307023,19.721311969926,4.20127651183029,289.844135409639,159.288317925885,54.1,20.2269963518443,20.8796747008265,29.075,49419820,0.98,2.497501633,29.4854398392347
2012,59937796648.2158,32.3730207966326,20.0923540449082,2.22540068514517,314.155765526187,160.943239346575,55.3,25.2609019754007,26.9294381626906,29.266,49837446,1.4,7.426825561,33.179223857355
2013,60269732854.827,32.3622196006021,19.9159137514953,3.74085607932619,330.502139381487,191.235409794683,56.5,21.5154731771046,30.7299531252145,29.457,50262658,1.8,13.48984154,35.1664986630794
2014,65531374199.6742,34.4897147952284,19.9307583033683,3.31904421407349,380.985920856459,222.092286921925,52.0,20.4916295825387,44.2898952399838,29.65,50681634,7.4,56.83954844,31.2218892689358
2015,59607290407.5944,34.4688212621645,20.8081418827965,6.85124098711179,,,60.5,,,29.858,51089056,10.9,79.62426697,29.9150539220144
2016,63298361996.2153,34.8095048832944,22.7953506749618,5.17880132517466,,,55.6,,,30.082,51495696,16.0,97.48338233,31.1703866445543
2017,66053040483.0016,36.8009211203558,24.0940353438783,7.27335555212816,,,69.8,,,30.322,51894938,23.6211,91.69666523,28.1336717956987
2018,67860515989.517,36.9634615021809,24.9118739981676,2.60563229851106,,,66.1,,,30.579,52272247,33.7204,116.0975729,31.5559916967562
2019,75065106227.6892,38.4126110918443,25.3200721248355,2.31211211194364,,,68.3,,,30.852,52640713,48.1377,154.4969145,32.1642279603857
2020,79006113643.1906,37.5439155484288,25.4520380861397,,,,70.4,,,31.141,53016522,41.95429049,147.0303762,32.3150340028667
2021,66345291160.1683,37.3108899934826,25.6374529176866,,,,72.5,,,31.448,53387102,44.02167324,126.2686102,
2022,62253049891.6449,38.2471357653023,25.559555440961,,,,73.7,,,31.771,53756787,,106.6964737,
