Year,Demand (TWh),"Population, total",Population growth (annual %),Urban population (% of total),Rural population (% of total),GDP (current US$),GNI per capita,Industry (% of GDP),Manufacturing (% of GDP),Foreign direct investment (% of GDP),Energy use (kg of oil equivalent per capita),Electric power consumption (kWh per capita),Residential energy consumption (% of total),Renewable electricity output (% of total),Fossil fuel electricity production (%),Fossil fuel energy consumption (% of total),Access to electricity (% of population),Electric power transmission and distribution losses (% of output),Access to clean fuels and technologies for cooking,Energy imports (% of energy use),CO2 intensity (kg per 2015 US$ GDP),Energy productivity (GDP per unit energy),Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),PM2.5 air pollution (micrograms per cubic meter),CO2 emissions (metric tons per capita)
2000,5.1,45290841.0,1.11707426022512,27.025,72.975,8905066163.58643,190.0,9.69226113586128,7.16473817761947,2.86117768008645,283.550199476314,77.6315900161801,0.809270814166421,36.967565455256,63.032434544744,27.18147716903,41.9,31.3012895662368,2.0,-20.0640122620477,0.211340684682492,10.44,,0.029419172,39.5272329221873,0.218848376007165
2001,4.67,45771139.0,1.05489130356671,27.208,72.792,6477790688.22844,190.0,10.5804943321805,7.82859733267743,3.21565753506977,274.183672816182,70.5466385706504,0.78738041446253,38.8568991256131,61.1431008743869,23.6261762134693,43.0,31.1367029217317,2.2,-26.4016292342948,0.160484872541344,9.07,0.000289277,0.049268903,39.7428390610683,0.187093465783666
2002,5.07,46232653.0,1.00325836797547,27.391,72.609,6777632512.0781,170.0,13.0068954922166,9.17723245491444,2.22070502562137,280.615196363488,75.3579942730087,0.961984825320064,41.6535122336227,58.3464877663773,24.0738623903879,47.0,31.2549329123915,2.5,-26.8298777862865,0.148920032805375,8.53,0.000426494,0.103230987,40.1768875885917,0.195328681113495
2003,5.42,46667192.0,0.93550676889734,27.575,72.425,10467109977.6717,190.0,14.2582573952557,9.79941441172103,2.3777576671811,301.526091392,82.477642965962,0.899996809125135,38.2488479262673,61.7511520737327,27.1169855741187,45.1,29.0506912442396,2.9,-30.3798505561929,0.137140491601152,8.17,0.0240641,0.141753867,40.6510344092112,0.206738412898095
2004,5.61,47068772.0,0.856837524813252,27.76,72.24,10567354056.4049,230.0,16.3663619555986,11.5833470877097,2.0001628964787,315.405275497733,83.0699385996303,0.972150143552975,42.9310037439829,57.0689962560171,30.1346938673784,46.2,30.2906043858085,3.4,-36.4349797608593,0.148431247837773,7.46,0.0243374,0.195300032,40.9869354273807,0.258661080577789
2005,6.02,47438365.0,0.78215232398828,27.946,72.054,11986972418.5103,280.0,17.512204636055,12.8016336992973,1.95966396539679,314.009135854492,77.2370632925481,1.05351879823417,49.8171542553192,50.1828457446808,29.4773524309751,47.3,39.0957446808511,3.9,-49.5520700748116,0.118109059809826,6.58,0.0652389,0.269672968,41.0062465475539,0.239234646052707
2006,6.18,47785135.0,0.728331835978341,28.132,71.868,14502553709.8303,300.0,19.2372930203744,13.9923194054329,1.90182128285749,316.144215141382,91.1371287326069,1.33763395947599,53.9422452952628,46.0577547047372,29.8155940222125,48.4,29.3478260869565,4.5,-50.4953996804394,0.112262695283681,5.88,0.182048,0.445459947,40.5461049761885,0.263052108940351
2007,6.4,48125043.0,0.708807824555326,28.319,71.681,20182477480.5512,360.0,20.4091296662276,14.8864137941878,3.5175166973129,325.701090802142,92.238878622924,1.37712029293154,56.5557118299734,43.4442881700266,31.7040885638914,49.5,30.6297859040475,5.4,-50.7192916542339,0.0978386548285052,5.41,0.217128,0.511172861,39.5962241482972,0.261834893834826
2008,6.62,48390793.0,0.550688224031359,28.507,71.493,31862554101.9378,490.0,22.6658154224732,16.8209693004769,2.71127181000311,312.261921394841,97.1465791023511,1.64482183436504,61.4768951978254,38.5231048021746,28.4497335049921,50.6,29.009362730293,6.4,-50.0477876394336,0.0662586237782674,4.84,0.22,0.753933666,38.2071243111665,0.198099032509298
2009,6.97,48660459.0,0.555720175554536,28.695,71.305,36906181380.8127,660.0,24.5320050982062,18.0785520484043,2.92355415980151,294.199053897128,102.60897867815,2.26380564186813,75.4738655944859,24.5261344055141,23.2788653089046,51.8,28.3026995979322,7.6,-54.0043312798301,0.0620873538164008,4.38,0.22,1.024169005,36.4293257120831,0.205437515022382
