Year,Demand (TWh),"Population, total",Population growth (annual %),Urban population (% of total),Rural population (% of total),GDP (current US$),GNI per capita,Industry (% of GDP),Manufacturing (% of GDP),Foreign direct investment (% of GDP),Energy use (kg of oil equivalent per capita),Electric power consumption (kWh per capita),Residential energy consumption (% of total),Renewable electricity output (% of total),Fossil fuel electricity production (%),Fossil fuel energy consumption (% of total),Access to electricity (% of population),Electric power transmission and distribution losses (% of output),Access to clean fuels and technologies for cooking,Energy imports (% of energy use),CO2 intensity (kg per 2015 US$ GDP),Energy productivity (GDP per unit energy),Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),PM2.5 air pollution (micrograms per cubic meter),CO2 emissions (metric tons per capita)
2000,45.3,79625397.0,2.37926588939747,46.135,53.865,83669788254.7279,1150.0,34.9752844865482,25.2795652869319,1.77722452873062,502.227285598337,489.102741930442,3.37153963835051,42.8902627511592,57.1097372488408,53.0686072962105,74.7,14.0097151689115,38.5,51.1164465498128,0.28073240573289,4.68,1.98225,8.27925362,31.5189595125717,0.939934892193283
2001,47.05,81401488.0,2.20604531885261,46.05,53.95,78921234457.5487,1140.0,34.8976152580491,25.3115458938417,0.96298544393499,470.398858065101,507.816269894231,3.27831184669822,37.2922422954304,62.7077577045696,54.304902746892,75.7,12.1424017003188,39.1,52.029448462618,0.258550930763379,4.32,2.52401,15.27032611,31.2923190881475,0.891878629990982
2002,48.46,83068889.0,2.02766985591781,45.965,54.035,84307345887.543,1110.0,34.78343526285,25.135408678046,2.09827504516588,467.257808154868,511.587436783944,3.05023041723979,35.6428085088823,64.3571914911177,55.872919631993,76.7,12.3176594383808,39.9,48.206693529935,0.246673470624132,4.23,4.33228,18.92463893,31.05570387518,0.876902416484598
2003,52.94,84731835.0,1.98211355051959,45.88,54.12,87039092974.2272,1150.0,34.5405640298629,24.8368726452881,0.565263243432102,459.257751233642,544.423474364741,3.15514688483393,33.4189648658859,66.5810351341141,57.2156239264721,76.6,12.8636191915376,40.0,47.0869141582647,0.230683380866286,4.02,4.85767,27.13864248,30.7743493607566,0.860220945781909
2004,55.94,86394504.0,1.94326756715565,45.795,54.205,95001999685.3314,1260.0,33.6186962072883,24.0119978825828,0.623144777963454,448.979705931294,564.040508873111,3.29625146873323,33.7312579301964,66.2687420698036,56.3830346446124,87.6,12.9152742284254,40.2,46.162087307456,0.218195060744001,3.74,5.24363,38.92784282,30.4134910319648,0.874673879706386
2005,56.57,88015962.0,1.85941217176991,45.71,54.29,107419977318.166,1350.0,33.8136763053241,24.2699011657558,1.54906009249231,441.438224580219,565.23838255611,3.23512836258973,32.365159898881,67.634840101119,57.8125893578486,79.8,12.0511959269539,40.4,44.9314336557144,0.203841716021464,3.67,5.39764,40.31821357,29.9383643758918,0.867379087919375
2006,56.78,89508986.0,1.68208380821541,45.625,54.375,127652926368.069,1470.0,33.4625853303804,23.8291853953244,2.12091886479217,430.899507676246,557.463582483216,3.66914909543006,36.0283887783315,63.9716112216685,56.182376080838,80.2,12.1251078667911,40.4,44.5371195770904,0.16998504580882,3.45,5.74059,48.76907405,29.1782265763242,0.770906137073974
2007,59.62,91075184.0,1.73463407300361,45.54,54.46,155980408673.403,1680.0,33.000860932449,23.1509115996374,1.87121245887706,424.339806988477,570.989787953654,3.37589659756276,31.5998725067521,68.4001274932479,57.2748354547926,82.0,12.7627451309322,40.3,42.7132748236556,0.165574779517572,3.32,5.97,64.02850974,28.0341722365094,0.808236154729757
2008,60.82,92699095.0,1.76733466433421,45.455,54.545,181624626327.361,1970.0,32.765288410954,23.2686676777552,0.737800589215247,432.636985290957,573.263417512328,3.57870509447225,33.9159171996514,66.0840828003486,57.6297547713247,83.3,12.6272175728778,40.3,42.7193782569615,0.170364462130318,3.34,6.22,74.64704735,26.5791929727268,0.868950030602126
2009,61.92,94384250.0,1.801550616238,45.371,54.629,175974755881.372,2130.0,31.5225426812628,21.7386143914197,1.17324821246427,404.586633892837,576.600439162254,3.73517885564378,32.5850680706061,67.4149319293939,56.2629237068097,84.3,12.1105925291904,40.2,38.5416053995477,0.164424708309628,3.21,9.0,81.32235128,24.8862804012556,0.84111159903388
