Year,GDP (current US$),Industry (% of GDP),Manufacturing (% of GDP),Foreign direct investment (% of GDP),Energy use (kg of oil equivalent per capita),Access to clean fuels and technologies for cooking,Energy imports (% of energy use),Population growth rate,GNI per capita,Electric power consumption (kWh per capita),Access to electricity (% of population),Electric power transmission and distribution losses (% of output),Fossil fuel energy consumption (% of total),Urban population (% of total),"Population, total",Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),PM2.5 air pollution (micrograms per cubic meter)
2000,96076539925.7409,32.4585044954973,25.8614860377559,16.148890451527,4634.72585005488,100,98.9178093257436,1.73204223254257,23680,7575.43595438502,100,3.63808621506395,98.9178093257437,100,4027887,36.0,67.77675756,19.7999719213474
2001,89793790669.6515,30.3796610759446,23.3946978474146,18.9398606857353,5145.88575383542,100,98.1682125594019,2.69735584326358,22130,7516.16960028149,100,6.00501677294569,98.1682125594019,100,4138012,41.6704,72.58809459,19.3142628589039
2002,92538372869.6942,30.7456754181249,24.7376403229729,6.65366588247058,5065.98450651947,100,98.1562254523666,0.912639805776796,22000,7756.31892144302,100,6.56012000923148,98.1551193464635,100,4175950,47.0,79.3192099,18.5842525658608
2003,97646401095.6369,30.2248029160952,24.7654126931969,17.4624153696896,6216.7391768206,100,98.404252408056,-1.47453284191939,23440,8113.5873060003,100,5.50775500962301,98.4042484988742,100,4114826,53.8379,84.63439691,17.7392806593529
2004,115033593101.049,31.8858938554669,27.1193675970643,21.2027237505542,7370.65287721784,100,98.7137424288612,1.2519166730553,26170,8314.32532116821,100,5.88954388633832,98.7137391727025,100,4166664,62.0,93.4502185,16.908686756515
2005,127807848728.398,31.4076522049802,27.0767617982071,15.1133588478776,5055.96631973373,100,98.172203063037,2.35051128857175,28830,8678.16816784434,100,3.1245911077382,98.1711273728879,100,4265762,61.0,100.9198005,16.221810474482
2006,148627286361.351,30.8942965496098,26.5780059858028,26.3271523046736,5264.39865814355,100,98.302365849048,3.1293891560754,32550,8720.02208405801,100,2.6925612291466,98.3013645776058,100,4401365,59.0,106.7315594,15.6032041493169
2007,180941701357.97,28.2257709638809,23.8226519045272,26.1619888768056,4677.2043057151,100,98.1287043989523,4.16600286360933,36010,8706.57906694396,100,2.87360513456349,98.1286997395141,100,4588599,69.9,127.0378465,14.9552764832534
2008,193617323539.203,26.4153381596662,20.5856649738484,7.02328608228291,5094.13571445693,100,98.2467607800251,5.32151708302623,37230,8401.04839529561,100,2.54332766018649,98.2467526672708,100,4839396,69.0,132.5809637,14.3741516426824
2009,194150283771.566,27.0163193688262,20.2733764290735,12.0710944143275,4257.77627715925,100,97.9328422483174,3.0159499147579,37320,8114.36744885739,100,1.79087092625397,97.9328422483173,100,4987573,69.0,137.4018501,13.9559537939949
2010,239807980591.24,26.6358717243037,20.7738330253125,23.0694716770803,5006.62099161429,100,97.6880328585997,1.77183287926401,44930,8679.99335005275,100,2.85487533343621,97.6880328585997,100,5076732,71.0,143.0129038,13.796807103582
2011,279356499090.458,25.2595925808817,19.5825515079778,17.5960314065855,5069.17179429009,100,97.7014427633591,2.08490245606007,48250,8651.75527539466,100,2.54248337607023,97.7014503745766,100,5183688,71.0,147.5817519,15.5030932335334
2012,295092888076.589,25.0222021555412,19.1168219800662,18.7435244231802,4898.33046490716,100,97.6089951637979,2.45339033031018,51710,8673.98521620115,100,1.89691511783867,96.3290893976468,100,5312437,72.0,149.9274113,16.9223599271481
2013,307576360584.992,23.4427286283197,17.6384096148755,20.9344810446532,4880.40607042352,100,97.5551670519087,1.61930809858875,54470,8680.60636076487,100,2.29523233755134,94.0061562567706,100,5399162,80.9021,154.0346262,18.076662563077
2014,314863580758.455,24.1685192477514,17.9997688921285,21.8184880782679,5121.80431773157,100,97.6820012924571,1.29844017799226,56380,8844.68759301201,100,2.02916160388821,90.5788735805032,100,5469724,79.0292,145.4770145,17.2816885850335
2015,307998545269.398,24.2880229055028,18.0893298548734,22.6541826890492,,100,,1.18637693749822,53160,,100,,,100,5535002,79.013,145.7181198,17.1833032960407
2016,319053943915.005,23.2451586103696,17.4744213597612,20.4865236102582,,100,,1.29743609938602,53310,,100,,,100,5607283,84.4523,148.123236,15.900294890346
2017,343257164581.712,23.525059681983,18.5683328115467,29.7636517525701,,100,,0.0885954699924263,54920,,100,,,100,5612253,84.4523,145.4058271,16.0768840541767
2018,376892697588.005,25.3939316090861,20.7284988237868,21.7592915016982,,100,,0.469704298714121,56550,,100,,,100,5638676,88.1656,147.3617155,15.9768571619193
2019,376901649222.451,24.0213523823824,19.3638513330846,28.0949935764636,,100,,1.14428330688929,58810,,100,,,100,5703569,88.9493,154.0006188,17.0759063187283
2020,349488382610.662,23.2086930878604,19.6271161695532,23.1003005183608,,100,,-0.311904961250833,55290,,100,,,100,5685807,92.0043,142.8931601,13.8691955865476
2021,434111559282.849,24.2773628887138,20.2841459034003,31.6207400179128,,100,,-4.17033630017526,64970,,100,,,100,5453566,96.9247,147.480416,
2022,498474540987.78,23.7466066693208,19.7232543845557,29.8437975950876,,100,,3.30862052439523,66970,,100,,,100,5637022,95.9539,156.4790531,
