Year,Demand (TWh),"Population, total",Population growth (annual %),Urban population (% of total),Rural population (% of total),GDP (current US$),GNI per capita,Industry (% of GDP),Manufacturing (% of GDP),Foreign direct investment (% of GDP),Energy use (kg of oil equivalent per capita),Electric power consumption (kWh per capita),Residential energy consumption (% of total),Renewable electricity output (% of total),Fossil fuel electricity production (%),Fossil fuel energy consumption (% of total),Access to electricity (% of population),Electric power transmission and distribution losses (% of output),Access to clean fuels and technologies for cooking,Energy imports (% of energy use),CO2 intensity (kg per 2015 US$ GDP),Energy productivity (GDP per unit energy),Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),PM2.5 air pollution (micrograms per cubic meter),CO2 emissions (metric tons per capita)
2000,31.67,4027887.0,1.73204223254257,100,0.0,96076539925.7409,23680.0,32.4585044954973,25.8614860377559,16.148890451527,4634.72585005488,7575.43595438502,0.0973253324699735,0.773724932891205,98.4525501342176,98.9178093257437,100.0,3.63808621506395,100.0,98.9178093257436,0.296862835351543,3.47,36.0,67.77675756,19.7999719213474,12.1666243367801
2001,33.06,4138012.0,2.69735584326358,100,0.0,89793790669.6515,22130.0,30.3796610759446,23.3946978474146,18.9398606857353,5145.88575383542,7516.16960028149,0.160572768415427,1.42947807428451,97.141043851431,98.1682125594019,100.0,6.00501677294569,100.0,98.1682125594019,0.296240356767293,4.0,41.6704,72.58809459,19.3142628589039,11.9722151603234
2002,34.66,4175950.0,0.912639805776796,100,0.0,92538372869.6942,22000.0,30.7456754181249,24.7376403229729,6.65366588247058,5065.98450651947,7756.31892144302,0.162589465768811,1.36452804061851,97.270943918763,98.1551193464635,100.0,6.56012000923148,100.0,98.1562254523666,0.266914400560603,3.82,47.0,79.3192099,18.5842525658608,11.3102312048755
2003,35.32,4114826.0,-1.47453284191939,100,0.0,97646401095.6369,23440.0,30.2248029160952,24.7654126931969,17.4624153696896,6216.7391768206,8113.5873060003,0.141055209375782,1.40099626400996,97.1980074719801,98.4042484988742,100.0,5.50775500962301,100.0,98.404252408056,0.165173941805984,4.42,53.8379,84.63439691,17.7392806593529,7.56601372694738
2004,36.82,4166664.0,1.2519166730553,100,0.0,115033593101.049,26170.0,31.8858938554669,27.1193675970643,21.2027237505542,7370.65287721784,8314.32532116821,0.11207790333598,1.3012414767325,97.397517046535,98.7137391727025,100.0,5.88954388633832,100.0,98.7137424288612,0.134210204414155,4.83,62.0,93.4502185,16.908686756515,6.83382557364837
2005,38.22,4265762.0,2.35051128857175,100,0.0,127807848728.398,28830.0,31.4076522049802,27.0767617982071,15.1133588478776,5055.96631973373,8678.16816784434,0.177019219940105,1.25088320728548,97.498233585429,98.1711273728879,100.0,3.1245911077382,100.0,98.172203063037,0.128974360743695,3.08,61.0,100.9198005,16.221810474482,7.1169214316223
2006,39.49,4401365.0,3.1293891560754,100,0.0,148627286361.351,32550.0,30.8942965496098,26.5780059858028,26.3271523046736,5264.39865814355,8720.02208405801,0.165193582022689,1.20937072156584,97.5812585568683,98.3013645776058,100.0,2.6925612291466,100.0,98.302365849048,0.116611704576891,3.03,59.0,106.7315594,15.6032041493169,6.99763209822407
2007,41.13,4588599.0,4.16600286360933,100,0.0,180941701357.97,36010.0,28.2257709638809,23.8226519045272,26.1619888768056,4677.2043057151,8706.57906694396,0.181734503815264,1.18396421364841,97.6320715727032,98.1286997395141,100.0,2.87360513456349,100.0,98.1287043989523,0.0673529541354216,2.57,69.9,127.0378465,14.9552764832534,4.34260609828839
2008,41.67,4839396.0,5.32151708302623,100,0.0,193617323539.203,37230.0,26.4153381596662,20.5856649738484,7.02328608228291,5094.13571445693,8401.04839529561,0.17118304645282,1.2584797564542,97.4854375913896,98.2467526672708,100.0,2.54332766018649,100.0,98.2467607800251,0.117684134396088,2.9,69.0,132.5809637,14.3741516426824,7.46676196781582
2009,41.8,4987573.0,3.0159499147579,100,0.0,194150283771.566,37320.0,27.0163193688262,20.2733764290735,12.0710944143275,4257.77627715925,8114.36744885739,0.204186387530214,1.29826008881555,97.4107597854838,97.9328422483173,100.0,1.79087092625397,100.0,97.9328422483174,0.181887698197685,3.13,69.0,137.4018501,13.9559537939949,11.2144225257455
2010,45.36,5076732.0,1.77183287926401,100,0.0,239807980591.24,44930.0,26.6358717243037,20.7738330253125,23.0694716770803,5006.62099161429,8679.99335005275,0.186691986980665,1.3050858667137,97.4008509512577,97.6880328585997,100.0,2.85487533343621,100.0,97.6880328585997,0.155121266980591,2.55,71.0,143.0129038,13.796807103582,10.9604087826578
2011,46.0,5183688.0,2.08490245606007,100,0.0,279356499090.458,48250.0,25.2595925808817,19.5825515079778,17.5960314065855,5069.17179429009,8651.75527539466,0.187056641348586,1.32774131861446,97.3619018644878,97.7014503745766,100.0,2.54248337607023,100.0,97.7014427633591,0.116141994932701,2.13,71.0,147.5817519,15.5030932335334,8.72379741990644
2012,46.94,5312437.0,2.45339033031018,100,0.0,295092888076.589,51710.0,25.0222021555412,19.1168219800662,18.7435244231802,4898.33046490716,8673.98521620115,0.198670670805922,1.35828489919312,97.3111068531647,96.3290893976468,100.0,1.89691511783867,100.0,97.6089951637979,0.0881283163484371,2.37,72.0,149.9274113,16.9223599271481,6.84675846508862
2013,47.97,5399162.0,1.61930809858875,100,0.0,307576360584.992,54470.0,23.4427286283197,17.6384096148755,20.9344810446532,4880.40607042352,8680.60636076487,0.198830885025383,1.54683232921262,97.135650107361,94.0061562567706,100.0,2.29523233755134,100.0,97.5551670519087,0.126298675108449,2.54,80.9021,154.0346262,18.076662563077,10.3119819334926
