Year,Demand (TWh),"Population, total",Population growth (annual %),Urban population (% of total),Rural population (% of total),GDP (current US$),GNI per capita,Industry (% of GDP),Manufacturing (% of GDP),Foreign direct investment (% of GDP),Energy use (kg of oil equivalent per capita),Electric power consumption (kWh per capita),Residential energy consumption (% of total),Renewable electricity output (% of total),Fossil fuel electricity production (%),Fossil fuel energy consumption (% of total),Access to electricity (% of population),Electric power transmission and distribution losses (% of output),Access to clean fuels and technologies for cooking,Energy imports (% of energy use),CO2 intensity (kg per 2015 US$ GDP),Energy productivity (GDP per unit energy),Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),PM2.5 air pollution (micrograms per cubic meter),CO2 emissions (metric tons per capita)
2000,98.34,63007815.0,1.13127017975852,31.386,68.614,126392224253.794,1980.0,36.6694083813627,28.375445282081,2.66312868727133,1147.24405218622,1446.80465431153,0.657054269135979,6.81100680371339,93.1889931962866,78.7434647365086,82.1,7.90814465965804,61.1,39.2024795179426,0.395308371810974,4.93,3.68904,4.845670931,40.3912275638682,2.87923298923262
2001,103.7,63651141.0,1.01584846841136,32.548,67.452,120296476180.402,1960.0,36.3210034946673,27.8267674786216,4.21223509530842,1168.68539717143,1502.1097579382,0.656824896016045,6.63639914079281,93.3636008592072,81.1944035340356,90.4,9.20035149384886,62.6,42.0317324965658,0.401106207520709,4.9,5.55633,11.86176404,40.3506543167023,3.06248319847049
2002,111.06,64266437.0,0.962026884907362,33.734,66.266,134300904400.022,1980.0,36.8944314471526,28.5150317752876,2.48815301889834,1279.99042486205,1612.59912386305,0.717918059843698,7.48442846266042,92.5155715373396,81.9283608360686,91.0,7.26151926834414,63.8,44.1122963334106,0.398400367601999,5.1,7.53125,27.17095763,40.4326952705377,3.25131860196571
2003,118.21,64868166.0,0.931947504633534,34.941,65.059,152280615245.887,2170.0,37.9181748920386,29.5805029456399,3.43593984811892,1373.72755382047,1705.21238414541,0.644233272305081,7.22498140755494,92.7750185924451,82.0314704145956,91.6,7.31046391356009,64.9,44.6532296781099,0.392841975496459,5.15,9.29903,33.37129642,40.5281267680848,3.47881002219628
2004,127.25,65452047.0,0.896077275303913,36.169,63.831,172895685154.658,2520.0,37.9023024950671,29.4189680545022,3.38947495269123,1471.23364988111,1814.48870499039,0.493752956921428,5.823729191025,94.176270808975,82.0571987898801,92.2,7.93862893411916,65.9,46.7614104844669,0.389520025092963,5.24,10.6773,41.28780674,40.5277251520537,3.74122706649869
2005,134.3,66017420.0,0.860087894461849,37.411,62.589,189318408468.595,2770.0,38.5052107116361,29.6150680597619,4.33958708070528,1499.68662816572,1897.36284756357,0.462170298679137,5.54475517598735,94.4552448240127,81.8133037575854,92.8,8.10532765493922,67.1,44.2573813265739,0.368582482182137,5.18,15.026,46.27713253,40.3222667651549,3.78243358435178
2006,141.35,66567687.0,0.83006330336846,38.673,61.327,221758296021.621,3070.0,39.146855883906,30.1680799710117,4.0212567065949,1516.59361395567,1982.50842033914,0.638628496740401,6.91715558374537,93.0828444162546,81.5614334816661,99.1,8.05812227011287,68.2,43.2014830917299,0.346976971326987,5.03,17.1607,60.503253,39.7521062500821,3.82910412656361
2007,146.27,67102394.0,0.800044180541195,39.95,60.05,262942621455.053,3480.0,39.4313718771557,30.5874496669954,3.28356939351343,1568.26753453834,2051.7151742753,0.617217608262446,6.91389194995048,93.0861080500495,81.1523351475608,94.1,6.46403213882186,69.4,42.5213978768523,0.321067778943766,4.95,20.03,79.27063763,38.7509301612035,3.81365564773437
2008,147.26,67619830.0,0.768156179389423,41.242,58.758,291382982430.951,3900.0,39.4796129651304,30.5547305435118,2.93824905393328,1598.66546544113,2071.53729904379,0.523067985179519,6.59788639724336,93.4021136027566,80.5707908532285,94.8,6.07355554651147,70.5,39.4074865963685,0.309544556099132,4.99,18.2,91.84432107,37.3495127087413,3.79353416355903
2009,147.05,68121080.0,0.73854268159594,42.543,57.457,281710630187.319,4060.0,38.6085988884387,29.4621400654976,2.27590224065624,1581.02756151253,2062.45996099886,0.528255352151954,6.89717913123172,93.1028208687683,80.1335424858594,99.0,5.91398574066337,71.55,39.9980873026562,0.327924789976135,5.0,20.1,97.25521206,35.5786281029176,4.00112921488869
2010,163.51,68579447.0,0.670617338343587,43.856,56.144,341104766329.17,4490.0,39.9217256985357,30.9304788194459,4.32320928209174,1718.30045523698,2261.21683366738,0.395588160379538,5.60988453003348,94.3901154699665,79.9930566926308,99.7,6.34457943105026,72.8,40.106779445485,0.317455881510443,5.1,22.4,105.0619397,33.4690505539545,4.19478193989097
2011,162.74,69007208.0,0.621807948253872,44.698,55.302,370818739623.622,4840.0,37.9813982711097,28.9958809244545,0.667087644548593,1705.63030169254,2234.47672306928,1.0122733013208,8.04790019937048,91.9520998006295,80.1938891061772,99.3,6.94463142104352,74.0,41.6536780107286,0.304495669022618,5.05,23.6699,112.714004,29.0591951880929,4.12138945978632
2012,177.58,69436098.0,0.619591346751357,45.445,54.555,397558325278.579,5400.0,37.343694137461,27.9727873518431,3.24456444314608,1817.44692796534,2387.30292707404,1.1092300159728,8.39087073264288,91.6091292673571,80.1621366082619,99.1,5.69500383582662,75.3,40.214532863582,0.297106949167282,5.05,26.46,122.9260548,31.5886298984382,4.37176541487934
