Year,Demand (TWh),"Population, total",Population growth (annual %),Urban population (% of total),Rural population (% of total),GDP (current US$),GNI per capita,Industry (% of GDP),Manufacturing (% of GDP),Foreign direct investment (% of GDP),Energy use (kg of oil equivalent per capita),Electric power consumption (kWh per capita),Residential energy consumption (% of total),Renewable electricity output (% of total),Fossil fuel electricity production (%),Fossil fuel energy consumption (% of total),Access to electricity (% of population),Electric power transmission and distribution losses (% of output),Access to clean fuels and technologies for cooking,Energy imports (% of energy use),CO2 intensity (kg per 2015 US$ GDP),Energy productivity (GDP per unit energy),Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),PM2.5 air pollution (micrograms per cubic meter),CO2 emissions (metric tons per capita)
2000,26.56,77154011.0,1.12950984166849,24.374,75.626,31172518403.3162,390.0,36.7307753268455,18.4469009115898,4.16392407955693,372.450487376476,296.860781482897,3.67304283897901,54.7833289409284,45.2166710590716,46.2734873538112,88.2,13.7683069161553,13.6,-38.9160353951234,0.329019413112888,4.21,0.254248,0.99816152,27.2332642563715,0.66817173179905
2001,30.61,77969361.0,1.05123747397877,24.937,75.063,32685198808.5549,410.0,38.1294216644677,19.6596681868708,3.97733545270572,393.045917100693,338.145646723974,4.2984902402924,59.4942498693152,40.5057501306848,47.913812186498,88.9,13.86238891793,16.5,-36.3335198640167,0.345254324928266,4.2,1.26565,1.567564328,27.2724542389611,0.753511856475972
2002,35.8,78772224.0,1.02445055878013,25.511,74.489,35064105500.8344,430.0,38.4866787864761,20.4570312937461,3.99268705133996,424.532561122052,390.797649689312,3.93104523456482,50.8380824673148,49.1619175326852,52.2715155184712,89.1,14.0015644206057,19.3,-33.3172614259211,0.370382562829003,4.28,1.855,2.359044585,27.3729160568005,0.863947416687995
2003,40.93,79563777.0,0.999847904782733,26.092,73.908,39552513231.9169,480.0,39.4700078083864,20.3275609958872,3.66601229989583,441.290287161707,448.105926394118,3.95839650349543,46.3921808185706,53.6078191814294,53.5150715499385,90.3,12.8821014050092,22.6,-30.3163745821006,0.377899452355745,4.19,3.78028,3.365415447,27.4669078615838,0.95189589767503
2004,46.2,80338971.0,0.969589431962946,26.683,73.317,45427854693.2554,550.0,40.2087495299221,20.3374215546611,3.54408107288199,485.041363051563,500.367374633165,3.36959038972869,38.5595879590556,61.4404120409444,58.2632847635648,91.0,13.0061243480707,25.9,-47.7527735517732,0.393169349178441,4.31,7.64241,6.025909442,27.4866878050048,1.08406259060619
2005,52.46,81088313.0,0.928402391177897,27.281,72.719,57633255738.1992,650.0,38.1311399002846,18.8232835631471,3.39040363930871,508.726121851863,589.246442949183,3.10158232586681,31.6739973162368,68.3260026837632,60.5328603933172,96.1,11.6631877143283,29.35,-47.2893012060121,0.383887172101856,4.25,12.7399,11.53831883,27.3645140387577,1.16409601303626
2006,58.87,82167897.0,1.32258336381927,27.888,72.112,66371664817.0436,740.0,38.5847310338981,19.3807256267869,3.61600090432522,514.449018939842,664.444411909435,3.69547647979851,33.8435852082059,66.1564147917941,60.7242132786692,96.0,11.3451143107467,33.1,-46.523327446109,0.364476131308979,4.07,17.2546,22.50396061,27.0007597054278,1.20742858505374
2007,66.79,83633375.0,1.76779845772365,28.504,71.496,77414425532.2452,860.0,38.5116248479069,19.3804144953877,8.65471771434805,543.860534146804,743.638529474627,3.98684669186419,34.4943887297039,65.5056112702961,62.7298752297796,93.1,11.1106136580707,36.8,-38.8398064130833,0.33826051024976,4.09,20.7554,53.11803062,26.3605983485498,1.22101564345574
2008,74.17,85175788.0,1.82745521345807,29.128,70.872,99130304099.1274,1000.0,37.0776963788801,18.5796576460957,9.6630390545572,570.996443261552,812.61355633129,4.24710378757124,35.4814976292986,64.5185023707014,64.5638521929196,93.8,10.0836557850564,41.0,-26.4517157494904,0.353257524554326,4.14,23.92,87.47047116,25.4734887212418,1.36081249482962
2009,84.37,86460018.0,1.49648723830416,29.762,70.238,106014659565.214,1120.0,37.3881863793419,18.3010354592131,7.16881988884276,613.731435956907,912.780286490341,4.49472007273737,36.1322512774271,63.8677487225729,66.7963942866577,96.1,9.60024045686805,45.1,-25.2350445829429,0.362639748539618,4.29,26.55,113.5761578,24.3688895766214,1.46901267757483
2010,96.36,87455152.0,1.14440259659988,30.417,69.583,147201173196.979,1370.0,33.0228771360005,17.1305705708367,5.4347392933443,673.624453822915,1028.42426024255,3.6903626649197,29.1402800754455,70.8597199245545,70.3281775071395,97.4,10.1124305870204,49.8,-12.6903585180516,0.373549560435519,4.44,30.65,127.6386103,23.0762596678067,1.61335958223951
2011,105.38,88468314.0,1.15183406119192,31.08,68.92,172595049183.925,1630.0,34.580408780539,18.694145538196,4.30487434902161,665.577169245025,1107.8316695399,5.4489654785319,39.460181412868,60.539818587132,68.4988899076788,99.0,9.54819740179876,55.2,-15.9655986015537,0.367258414425015,4.18,35.07,144.1078862,20.4905765848944,1.70142228279496
2012,116.61,89510356.0,1.1709874078049,31.752,68.248,195590661129.249,1980.0,35.8602323946766,20.2740924828827,4.27832287681174,669.497907035472,1210.23985202338,6.80280232468185,45.0192189944894,54.9807810055106,66.9781044923393,97.9,9.11201442274985,60.4,-15.7343261457658,0.320235351338516,4.01,36.8,147.4487893,21.5116439458873,1.57233798156171
2013,126.79,90573104.0,1.1802975549343,32.429,67.571,213708811665.34,2200.0,35.575150437736,20.6874536915425,4.16454517277325,661.649102806502,1279.38642800627,6.93720399976552,41.6620020151295,58.3379979848705,69.8218365547114,98.5,9.19762662529787,66.3,-15.1058744822691,0.309466471615807,3.91,38.5,137.0761674,23.2274925075316,1.60911159266528
2014,142.69,91679578.0,1.21423463554626,33.115,66.885,233451469642.519,2390.0,35.2985684880333,20.371229229791,3.94086189051961,,1424.23212288346,,42.9814065130943,57.0185934869057,,99.2,9.28671228459857,72.1,,0.325190414216363,4.11,41.0,149.2271298,20.4035064934273,1.80356574966869
